patch,championId,championName,games,wins,win_rate,pick_rate,ban_rate,cluster,tier
15.10,99,Lux,8,1,12.5,28.571,14.286,3,B
15.10,800,Mel,8,2,25.0,28.571,35.714,3,B
15.10,21,MissFortune,8,5,62.5,28.571,0.0,2,A
15.10,51,Caitlyn,7,4,57.14,25.0,17.857,3,B
15.10,17,Teemo,7,3,42.86,25.0,17.857,3,B
15.10,31,Chogath,6,3,50.0,21.429,7.143,3,B
15.10,60,Elise,6,5,83.33,21.429,0.0,2,A
15.10,141,Kayn,6,4,66.67,21.429,3.571,3,B
15.10,32,Amumu,5,2,40.0,17.857,3.571,3,B
15.10,22,Ashe,5,3,60.0,17.857,0.0,2,A
15.10,157,Yasuo,5,3,60.0,17.857,35.714,3,B
15.10,777,Yone,5,4,80.0,17.857,14.286,3,B
15.10,910,Hwei,4,3,75.0,14.286,3.571,3,B
15.10,10,Kayle,4,1,25.0,14.286,3.571,3,B
15.10,267,Nami,4,3,75.0,14.286,7.143,3,B
15.10,875,Sett,4,3,75.0,14.286,10.714,3,B
15.10,98,Shen,4,3,75.0,14.286,3.571,3,B
15.10,50,Swain,4,2,50.0,14.286,17.857,3,B
15.10,18,Tristana,4,2,50.0,14.286,7.143,3,B
15.10,45,Veigar,4,3,75.0,14.286,3.571,3,B
15.10,106,Volibear,4,2,50.0,14.286,3.571,3,B
15.10,53,Blitzcrank,3,2,66.67,10.714,21.429,3,B
15.10,3,Galio,3,1,33.33,10.714,10.714,3,B
15.10,104,Graves,3,2,66.67,10.714,3.571,3,B
15.10,202,Jhin,3,2,66.67,10.714,7.143,3,B
15.10,145,Kaisa,3,2,66.67,10.714,0.0,2,A
15.10,89,Leona,3,2,66.67,10.714,7.143,3,B
15.10,236,Lucian,3,1,33.33,10.714,7.143,3,B
15.10,75,Nasus,3,2,66.67,10.714,0.0,2,A
15.10,56,Nocturne,3,3,100.0,10.714,28.571,3,B
15.10,555,Pyke,3,1,33.33,10.714,10.714,3,B
15.10,92,Riven,3,0,0.0,10.714,0.0,2,A
15.10,113,Sejuani,3,1,33.33,10.714,0.0,2,A
15.10,235,Senna,3,0,0.0,10.714,10.714,1,C
15.10,517,Sylas,3,2,66.67,10.714,3.571,3,B
15.10,91,Talon,3,2,66.67,10.714,3.571,3,B
15.10,412,Thresh,3,1,33.33,10.714,3.571,3,B
15.10,29,Twitch,3,2,66.67,10.714,7.143,3,B
15.10,6,Urgot,3,2,66.67,10.714,3.571,3,B
15.10,67,Vayne,3,1,33.33,10.714,3.571,3,B
15.10,19,Warwick,3,0,0.0,10.714,39.286,1,C
15.10,84,Akali,2,1,50.0,7.143,3.571,1,C
15.10,34,Anivia,2,0,0.0,7.143,7.143,1,C
15.10,136,AurelionSol,2,0,0.0,7.143,3.571,1,C
15.10,119,Draven,2,0,0.0,7.143,10.714,1,C
15.10,245,Ekko,2,2,100.0,7.143,3.571,0,S
15.10,81,Ezreal,2,1,50.0,7.143,7.143,1,C
15.10,105,Fizz,2,1,50.0,7.143,17.857,1,C
15.10,41,Gangplank,2,0,0.0,7.143,0.0,4,D
15.10,86,Garen,2,1,50.0,7.143,3.571,1,C
15.10,120,Hecarim,2,0,0.0,7.143,7.143,1,C
15.10,74,Heimerdinger,2,1,50.0,7.143,0.0,2,A
15.10,420,Illaoi,2,1,50.0,7.143,25.0,1,C
15.10,59,JarvanIV,2,2,100.0,7.143,0.0,0,S
15.10,43,Karma,2,0,0.0,7.143,3.571,1,C
15.10,55,Katarina,2,0,0.0,7.143,7.143,1,C
15.10,121,Khazix,2,1,50.0,7.143,0.0,2,A
