patch,K,SSE,silhouette
15.20,2,716.8900152618636,0.5585961383107955
15.20,3,590.2775295368024,0.544927357403989
15.20,4,461.3939035320296,0.5008542972455432
15.20,5,352.4427162263576,0.328280327676325
15.20,6,263.4035724209357,0.35410632906626327
15.20,7,223.8786572066393,0.29944486030688344
15.20,8,193.8024542071158,0.3107420567237984
15.20,9,171.03752865262823,0.31327971448596004
15.20,10,155.69015838119574,0.32091739592133234
