patch,championId,championName,games,wins,win_rate,pick_rate
15.11,202,Jhin,7,2,28.57,30.435
15.11,99,Lux,7,5,71.43,30.435
15.11,35,Shaco,6,3,50.0,26.087
15.11,51,Caitlyn,5,2,40.0,21.739
15.11,222,Jinx,5,3,60.0,21.739
15.11,875,Sett,5,2,40.0,21.739
15.11,17,Teemo,5,4,80.0,21.739
15.11,103,Ahri,4,2,50.0,17.391
15.11,84,Akali,4,0,0.0,17.391
15.11,236,Lucian,4,1,25.0,17.391
15.11,800,Mel,4,3,75.0,17.391
15.11,18,Tristana,4,3,75.0,17.391
15.11,19,Warwick,4,2,50.0,17.391
15.11,1,Annie,3,1,33.33,13.043
15.11,131,Diana,3,2,66.67,13.043
15.11,36,DrMundo,3,1,33.33,13.043
15.11,81,Ezreal,3,1,33.33,13.043
15.11,887,Gwen,3,2,66.67,13.043
15.11,55,Katarina,3,1,33.33,13.043
15.11,141,Kayn,3,2,66.67,13.043
15.11,64,LeeSin,3,1,33.33,13.043
15.11,90,Malzahar,3,3,100.0,13.043
15.11,21,MissFortune,3,2,66.67,13.043
15.11,950,Naafiri,3,2,66.67,13.043
15.11,111,Nautilus,3,1,33.33,13.043
15.11,20,Nunu,3,2,66.67,13.043
15.11,555,Pyke,3,2,66.67,13.043
15.11,58,Renekton,3,1,33.33,13.043
15.11,98,Shen,3,1,33.33,13.043
15.11,901,Smolder,3,1,33.33,13.043
15.11,48,Trundle,3,2,66.67,13.043
15.11,6,Urgot,3,2,66.67,13.043
15.11,157,Yasuo,3,0,0.0,13.043
15.11,32,Amumu,2,1,50.0,8.696
15.11,22,Ashe,2,2,100.0,8.696
15.11,31,Chogath,2,1,50.0,8.696
15.11,41,Gangplank,2,0,0.0,8.696
15.11,86,Garen,2,1,50.0,8.696
15.11,910,Hwei,2,1,50.0,8.696
15.11,145,Kaisa,2,1,50.0,8.696
15.11,43,Karma,2,1,50.0,8.696
15.11,30,Karthus,2,1,50.0,8.696
15.11,10,Kayle,2,2,100.0,8.696
15.11,89,Leona,2,2,100.0,8.696
15.11,876,Lillia,2,0,0.0,8.696
15.11,117,Lulu,2,0,0.0,8.696
15.11,11,MasterYi,2,2,100.0,8.696
15.11,902,Milio,2,0,0.0,8.696
15.11,25,Morgana,2,2,100.0,8.696
15.11,267,Nami,2,1,50.0,8.696
15.11,76,Nidalee,2,1,50.0,8.696
15.11,133,Quinn,2,2,100.0,8.696
15.11,147,Seraphine,2,1,50.0,8.696
15.11,14,Sion,2,2,100.0,8.696
15.11,517,Sylas,2,1,50.0,8.696
15.11,91,Talon,2,1,50.0,8.696
15.11,412,Thresh,2,1,50.0,8.696
15.11,23,Tryndamere,2,2,100.0,8.696
15.11,29,Twitch,2,0,0.0,8.696
15.11,110,Varus,2,0,0.0,8.696
15.11,234,Viego,2,1,50.0,8.696
15.11,106,Volibear,2,1,50.0,8.696
15.11,498,Xayah,2,1,50.0,8.696
15.11,777,Yone,2,1,50.0,8.696
15.11,12,Alistar,1,0,0.0,4.348
15.11,136,AurelionSol,1,1,100.0,4.348
15.11,53,Blitzcrank,1,1,100.0,4.348
15.11,233,Briar,1,0,0.0,4.348
15.11,164,Camille,1,0,0.0,4.348
15.11,69,Cassiopeia,1,0,0.0,4.348
15.11,122,Darius,1,1,100.0,4.348
15.11,119,Draven,1,1,100.0,4.348
15.11,9,FiddleSticks,1,1,100.0,4.348
15.11,3,Galio,1,0,0.0,4.348
15.11,74,Heimerdinger,1,1,100.0,4.348
15.11,427,Ivern,1,0,0.0,4.348
15.11,59,JarvanIV,1,0,0.0,4.348
15.11,24,Jax,1,1,100.0,4.348
15.11,121,Khazix,1,1,100.0,4.348
15.11,127,Lissandra,1,1,100.0,4.348
15.11,54,Malphite,1,0,0.0,4.348
15.11,57,Maokai,1,0,0.0,4.348
15.11,62,MonkeyKing,1,0,0.0,4.348
15.11,82,Mordekaiser,1,1,100.0,4.348
15.11,75,Nasus,1,1,100.0,4.348
15.11,895,Nilah,1,1,100.0,4.348
15.11,56,Nocturne,1,1,100.0,4.348
15.11,2,Olaf,1,0,0.0,4.348
15.11,61,Orianna,1,1,100.0,4.348
15.11,80,Pantheon,1,0,0.0,4.348
15.11,78,Poppy,1,1,100.0,4.348
15.11,246,Qiyana,1,0,0.0,4.348
15.11,33,Rammus,1,0,0.0,4.348
15.11,526,Rell,1,1,100.0,4.348
15.11,92,Riven,1,0,0.0,4.348
15.11,68,Rumble,1,0,0.0,4.348
15.11,235,Senna,1,1,100.0,4.348
15.11,27,Singed,1,0,0.0,4.348
15.11,37,Sona,1,1,100.0,4.348
15.11,50,Swain,1,0,0.0,4.348
15.11,254,Vi,1,1,100.0,4.348
15.11,112,Viktor,1,0,0.0,4.348
15.11,101,Xerath,1,1,100.0,4.348
15.11,5,XinZhao,1,0,0.0,4.348
15.11,83,Yorick,1,0,0.0,4.348
15.11,238,Zed,1,0,0.0,4.348
15.11,115,Ziggs,1,0,0.0,4.348
15.11,142,Zoe,1,0,0.0,4.348
