cluster,n,mean_win_rate,mean_pick_rate,mean_ban_rate
1,27,100.0,5.25,7.0
0,26,60.27438356164383,12.767123287671232,0.0
4,33,47.572330097087374,14.407766990291263,10.679611650485437
3,18,0.0,5.454545454545454,0.0
2,19,0.0,4.4,10.6
