patch,championId,championName,games,wins,win_rate,pick_rate
15.2,222,Jinx,4,2,50.0,50.0
15.2,32,Amumu,3,1,33.33,37.5
15.2,893,Aurora,3,2,66.67,37.5
15.2,875,Sett,3,2,66.67,37.5
15.2,157,Yasuo,3,0,0.0,37.5
15.2,201,Braum,2,1,50.0,25.0
15.2,910,Hwei,2,1,50.0,25.0
15.2,126,Jayce,2,2,100.0,25.0
15.2,236,Lucian,2,1,50.0,25.0
15.2,90,Malzahar,2,2,100.0,25.0
15.2,517,Sylas,2,1,50.0,25.0
15.2,91,Talon,2,1,50.0,25.0
15.2,17,Teemo,2,0,0.0,25.0
15.2,412,Thresh,2,0,0.0,25.0
15.2,103,Ahri,1,0,0.0,12.5
15.2,22,Ashe,1,0,0.0,12.5
15.2,63,Brand,1,1,100.0,12.5
15.2,51,Caitlyn,1,0,0.0,12.5
15.2,164,Camille,1,1,100.0,12.5
15.2,31,Chogath,1,1,100.0,12.5
15.2,122,Darius,1,1,100.0,12.5
15.2,131,Diana,1,0,0.0,12.5
15.2,60,Elise,1,1,100.0,12.5
15.2,81,Ezreal,1,1,100.0,12.5
15.2,114,Fiora,1,0,0.0,12.5
15.2,3,Galio,1,1,100.0,12.5
15.2,120,Hecarim,1,1,100.0,12.5
15.2,59,JarvanIV,1,0,0.0,12.5
15.2,897,KSante,1,0,0.0,12.5
15.2,145,Kaisa,1,1,100.0,12.5
15.2,30,Karthus,1,0,0.0,12.5
15.2,10,Kayle,1,1,100.0,12.5
15.2,203,Kindred,1,0,0.0,12.5
15.2,64,LeeSin,1,0,0.0,12.5
15.2,117,Lulu,1,1,100.0,12.5
15.2,11,MasterYi,1,0,0.0,12.5
15.2,800,Mel,1,0,0.0,12.5
15.2,902,Milio,1,0,0.0,12.5
15.2,21,MissFortune,1,1,100.0,12.5
15.2,62,MonkeyKing,1,1,100.0,12.5
15.2,82,Mordekaiser,1,0,0.0,12.5
15.2,25,Morgana,1,0,0.0,12.5
15.2,56,Nocturne,1,0,0.0,12.5
15.2,20,Nunu,1,1,100.0,12.5
15.2,497,Rakan,1,0,0.0,12.5
15.2,526,Rell,1,1,100.0,12.5
15.2,13,Ryze,1,0,0.0,12.5
15.2,235,Senna,1,1,100.0,12.5
15.2,147,Seraphine,1,0,0.0,12.5
15.2,901,Smolder,1,1,100.0,12.5
15.2,16,Soraka,1,0,0.0,12.5
15.2,18,Tristana,1,0,0.0,12.5
15.2,67,Vayne,1,1,100.0,12.5
15.2,45,Veigar,1,1,100.0,12.5
15.2,234,Viego,1,1,100.0,12.5
15.2,19,Warwick,1,1,100.0,12.5
15.2,777,Yone,1,1,100.0,12.5
15.2,154,Zac,1,0,0.0,12.5
15.2,238,Zed,1,1,100.0,12.5
15.2,26,Zilean,1,1,100.0,12.5
