patch,championId,championName,games,wins,win_rate,pick_rate
15.2,99,Lux,10,6,60.0,43.478
15.2,51,Caitlyn,6,2,33.33,26.087
15.2,202,Jhin,6,4,66.67,26.087
15.2,222,Jinx,6,4,66.67,26.087
15.2,21,MissFortune,6,3,50.0,26.087
15.2,777,Yone,6,2,33.33,26.087
15.2,81,Ezreal,5,1,20.0,21.739
15.2,90,Malzahar,5,3,60.0,21.739
15.2,56,Nocturne,5,1,20.0,21.739
15.2,516,Ornn,5,3,60.0,21.739
15.2,35,Shaco,5,4,80.0,21.739
15.2,19,Warwick,5,0,0.0,21.739
15.2,41,Gangplank,4,1,25.0,17.391
15.2,82,Mordekaiser,4,4,100.0,17.391
15.2,234,Viego,4,2,50.0,17.391
15.2,233,Briar,3,1,33.33,13.043
15.2,122,Darius,3,2,66.67,13.043
15.2,245,Ekko,3,2,66.67,13.043
15.2,59,JarvanIV,3,2,66.67,13.043
15.2,145,Kaisa,3,1,33.33,13.043
15.2,117,Lulu,3,2,66.67,13.043
15.2,800,Mel,3,1,33.33,13.043
15.2,62,MonkeyKing,3,1,33.33,13.043
15.2,75,Nasus,3,3,100.0,13.043
15.2,518,Neeko,3,0,0.0,13.043
15.2,14,Sion,3,2,66.67,13.043
15.2,223,TahmKench,3,0,0.0,13.043
15.2,67,Vayne,3,0,0.0,13.043
15.2,101,Xerath,3,1,33.33,13.043
15.2,103,Ahri,2,1,50.0,8.696
15.2,32,Amumu,2,1,50.0,8.696
15.2,31,Chogath,2,1,50.0,8.696
15.2,36,DrMundo,2,0,0.0,8.696
15.2,120,Hecarim,2,2,100.0,8.696
15.2,40,Janna,2,1,50.0,8.696
15.2,429,Kalista,2,0,0.0,8.696
15.2,55,Katarina,2,1,50.0,8.696
15.2,121,Khazix,2,1,50.0,8.696
15.2,25,Morgana,2,2,100.0,8.696
15.2,76,Nidalee,2,0,0.0,8.696
15.2,61,Orianna,2,1,50.0,8.696
15.2,555,Pyke,2,1,50.0,8.696
15.2,888,Renata,2,1,50.0,8.696
15.2,235,Senna,2,1,50.0,8.696
15.2,147,Seraphine,2,0,0.0,8.696
15.2,875,Sett,2,1,50.0,8.696
15.2,27,Singed,2,0,0.0,8.696
15.2,17,Teemo,2,0,0.0,8.696
15.2,412,Thresh,2,0,0.0,8.696
15.2,18,Tristana,2,2,100.0,8.696
15.2,48,Trundle,2,2,100.0,8.696
15.2,77,Udyr,2,1,50.0,8.696
15.2,110,Varus,2,2,100.0,8.696
15.2,161,Velkoz,2,1,50.0,8.696
15.2,711,Vex,2,2,100.0,8.696
15.2,106,Volibear,2,1,50.0,8.696
15.2,157,Yasuo,2,1,50.0,8.696
15.2,350,Yuumi,2,0,0.0,8.696
15.2,115,Ziggs,2,0,0.0,8.696
15.2,266,Aatrox,1,1,100.0,4.348
15.2,166,Akshan,1,0,0.0,4.348
15.2,34,Anivia,1,0,0.0,4.348
15.2,432,Bard,1,0,0.0,4.348
15.2,53,Blitzcrank,1,1,100.0,4.348
15.2,63,Brand,1,1,100.0,4.348
15.2,42,Corki,1,1,100.0,4.348
15.2,119,Draven,1,1,100.0,4.348
15.2,60,Elise,1,0,0.0,4.348
15.2,28,Evelynn,1,0,0.0,4.348
15.2,9,FiddleSticks,1,1,100.0,4.348
15.2,114,Fiora,1,1,100.0,4.348
15.2,3,Galio,1,0,0.0,4.348
15.2,79,Gragas,1,0,0.0,4.348
15.2,104,Graves,1,1,100.0,4.348
15.2,887,Gwen,1,1,100.0,4.348
15.2,74,Heimerdinger,1,1,100.0,4.348
15.2,910,Hwei,1,0,0.0,4.348
15.2,39,Irelia,1,1,100.0,4.348
15.2,126,Jayce,1,1,100.0,4.348
15.2,897,KSante,1,0,0.0,4.348
15.2,30,Karthus,1,0,0.0,4.348
15.2,10,Kayle,1,1,100.0,4.348
15.2,141,Kayn,1,1,100.0,4.348
15.2,127,Lissandra,1,1,100.0,4.348
15.2,57,Maokai,1,1,100.0,4.348
15.2,950,Naafiri,1,1,100.0,4.348
15.2,20,Nunu,1,1,100.0,4.348
15.2,80,Pantheon,1,1,100.0,4.348
15.2,78,Poppy,1,1,100.0,4.348
15.2,33,Rammus,1,1,100.0,4.348
15.2,526,Rell,1,1,100.0,4.348
15.2,68,Rumble,1,0,0.0,4.348
15.2,102,Shyvana,1,1,100.0,4.348
15.2,15,Sivir,1,0,0.0,4.348
15.2,16,Soraka,1,1,100.0,4.348
15.2,517,Sylas,1,0,0.0,4.348
15.2,91,Talon,1,0,0.0,4.348
15.2,29,Twitch,1,1,100.0,4.348
15.2,45,Veigar,1,0,0.0,4.348
15.2,254,Vi,1,0,0.0,4.348
15.2,112,Viktor,1,1,100.0,4.348
15.2,83,Yorick,1,1,100.0,4.348
15.2,221,Zeri,1,1,100.0,4.348
15.2,26,Zilean,1,1,100.0,4.348
15.2,143,Zyra,1,1,100.0,4.348
