patch,championId,championName,games,wins,win_rate,pick_rate
15.15,1,Annie,6,3,50.0,22.222
15.15,145,Kaisa,6,4,66.67,22.222
15.15,141,Kayn,6,2,33.33,22.222
15.15,99,Lux,6,2,33.33,22.222
15.15,36,DrMundo,5,2,40.0,18.519
15.15,222,Jinx,5,3,60.0,18.519
15.15,117,Lulu,5,2,40.0,18.519
15.15,516,Ornn,5,3,60.0,18.519
15.15,234,Viego,5,1,20.0,18.519
15.15,103,Ahri,4,2,50.0,14.815
15.15,32,Amumu,4,2,50.0,14.815
15.15,164,Camille,4,1,25.0,14.815
15.15,81,Ezreal,4,1,25.0,14.815
15.15,236,Lucian,4,4,100.0,14.815
15.15,800,Mel,4,3,75.0,14.815
15.15,82,Mordekaiser,4,1,25.0,14.815
15.15,555,Pyke,4,2,50.0,14.815
15.15,29,Twitch,4,3,75.0,14.815
15.15,19,Warwick,4,2,50.0,14.815
15.15,101,Xerath,4,2,50.0,14.815
15.15,804,Yunara,4,2,50.0,14.815
15.15,238,Zed,4,3,75.0,14.815
15.15,166,Akshan,3,2,66.67,11.111
15.15,22,Ashe,3,1,33.33,11.111
15.15,86,Garen,3,1,33.33,11.111
15.15,887,Gwen,3,2,66.67,11.111
15.15,39,Irelia,3,3,100.0,11.111
15.15,59,JarvanIV,3,3,100.0,11.111
15.15,96,KogMaw,3,3,100.0,11.111
15.15,89,Leona,3,2,66.67,11.111
15.15,54,Malphite,3,2,66.67,11.111
15.15,57,Maokai,3,1,33.33,11.111
15.15,21,MissFortune,3,2,66.67,11.111
15.15,267,Nami,3,2,66.67,11.111
15.15,518,Neeko,3,1,33.33,11.111
15.15,235,Senna,3,2,66.67,11.111
15.15,901,Smolder,3,1,33.33,11.111
15.15,517,Sylas,3,3,100.0,11.111
15.15,412,Thresh,3,1,33.33,11.111
15.15,67,Vayne,3,2,66.67,11.111
15.15,106,Volibear,3,1,33.33,11.111
15.15,157,Yasuo,3,3,100.0,11.111
15.15,777,Yone,3,0,0.0,11.111
15.15,115,Ziggs,3,1,33.33,11.111
15.15,12,Alistar,2,2,100.0,7.407
15.15,233,Briar,2,1,50.0,7.407
15.15,122,Darius,2,1,50.0,7.407
15.15,119,Draven,2,0,0.0,7.407
15.15,60,Elise,2,1,50.0,7.407
15.15,28,Evelynn,2,1,50.0,7.407
15.15,9,FiddleSticks,2,2,100.0,7.407
15.15,3,Galio,2,0,0.0,7.407
15.15,120,Hecarim,2,0,0.0,7.407
15.15,74,Heimerdinger,2,2,100.0,7.407
15.15,202,Jhin,2,0,0.0,7.407
15.15,897,KSante,2,1,50.0,7.407
15.15,43,Karma,2,0,0.0,7.407
15.15,55,Katarina,2,1,50.0,7.407
15.15,62,MonkeyKing,2,2,100.0,7.407
15.15,25,Morgana,2,2,100.0,7.407
15.15,56,Nocturne,2,0,0.0,7.407
15.15,61,Orianna,2,0,0.0,7.407
15.15,80,Pantheon,2,1,50.0,7.407
15.15,246,Qiyana,2,0,0.0,7.407
15.15,107,Rengar,2,2,100.0,7.407
15.15,360,Samira,2,2,100.0,7.407
15.15,875,Sett,2,1,50.0,7.407
15.15,15,Sivir,2,0,0.0,7.407
15.15,48,Trundle,2,0,0.0,7.407
15.15,112,Viktor,2,0,0.0,7.407
15.15,83,Yorick,2,1,50.0,7.407
15.15,350,Yuumi,2,0,0.0,7.407
15.15,266,Aatrox,1,0,0.0,3.704
15.15,84,Akali,1,1,100.0,3.704
15.15,893,Aurora,1,0,0.0,3.704
15.15,268,Azir,1,0,0.0,3.704
15.15,200,Belveth,1,1,100.0,3.704
15.15,53,Blitzcrank,1,0,0.0,3.704
15.15,201,Braum,1,1,100.0,3.704
15.15,51,Caitlyn,1,0,0.0,3.704
15.15,69,Cassiopeia,1,0,0.0,3.704
15.15,131,Diana,1,1,100.0,3.704
15.15,245,Ekko,1,1,100.0,3.704
15.15,114,Fiora,1,1,100.0,3.704
15.15,105,Fizz,1,0,0.0,3.704
15.15,79,Gragas,1,1,100.0,3.704
15.15,24,Jax,1,1,100.0,3.704
15.15,126,Jayce,1,1,100.0,3.704
15.15,10,Kayle,1,1,100.0,3.704
15.15,121,Khazix,1,0,0.0,3.704
15.15,203,Kindred,1,1,100.0,3.704
15.15,7,Leblanc,1,1,100.0,3.704
15.15,876,Lillia,1,0,0.0,3.704
15.15,127,Lissandra,1,1,100.0,3.704
15.15,90,Malzahar,1,1,100.0,3.704
15.15,902,Milio,1,0,0.0,3.704
15.15,75,Nasus,1,0,0.0,3.704
15.15,111,Nautilus,1,0,0.0,3.704
15.15,2,Olaf,1,1,100.0,3.704
15.15,497,Rakan,1,1,100.0,3.704
15.15,421,RekSai,1,1,100.0,3.704
15.15,888,Renata,1,0,0.0,3.704
15.15,58,Renekton,1,0,0.0,3.704
15.15,92,Riven,1,0,0.0,3.704
15.15,35,Shaco,1,1,100.0,3.704
15.15,98,Shen,1,0,0.0,3.704
15.15,16,Soraka,1,1,100.0,3.704
15.15,134,Syndra,1,0,0.0,3.704
15.15,17,Teemo,1,0,0.0,3.704
15.15,18,Tristana,1,0,0.0,3.704
15.15,4,TwistedFate,1,1,100.0,3.704
15.15,110,Varus,1,0,0.0,3.704
15.15,45,Veigar,1,0,0.0,3.704
15.15,711,Vex,1,1,100.0,3.704
15.15,254,Vi,1,1,100.0,3.704
15.15,8,Vladimir,1,0,0.0,3.704
15.15,498,Xayah,1,0,0.0,3.704
15.15,154,Zac,1,1,100.0,3.704
15.15,221,Zeri,1,0,0.0,3.704
