patch,championId,championName,games,wins,win_rate,pick_rate
15.18,901,Smolder,10,8,80.0,20.833
15.18,82,Mordekaiser,9,5,55.56,18.75
15.18,15,Sivir,9,3,33.33,18.75
15.18,24,Jax,8,2,25.0,16.667
15.18,145,Kaisa,8,2,25.0,16.667
15.18,21,MissFortune,8,4,50.0,16.667
15.18,267,Nami,8,5,62.5,16.667
15.18,106,Volibear,8,5,62.5,16.667
15.18,99,Lux,7,4,57.14,14.583
15.18,800,Mel,7,3,42.86,14.583
15.18,14,Sion,7,5,71.43,14.583
15.18,777,Yone,7,3,42.86,14.583
15.18,131,Diana,6,5,83.33,12.5
15.18,86,Garen,6,4,66.67,12.5
15.18,59,JarvanIV,6,3,50.0,12.5
15.18,202,Jhin,6,2,33.33,12.5
15.18,902,Milio,6,4,66.67,12.5
15.18,25,Morgana,6,1,16.67,12.5
15.18,98,Shen,6,1,16.67,12.5
15.18,517,Sylas,6,2,33.33,12.5
15.18,8,Vladimir,6,4,66.67,12.5
15.18,432,Bard,5,4,80.0,10.417
15.18,245,Ekko,5,2,40.0,10.417
15.18,3,Galio,5,4,80.0,10.417
15.18,41,Gangplank,5,1,20.0,10.417
15.18,222,Jinx,5,1,20.0,10.417
15.18,43,Karma,5,3,60.0,10.417
15.18,236,Lucian,5,2,40.0,10.417
15.18,117,Lulu,5,2,40.0,10.417
15.18,235,Senna,5,3,60.0,10.417
15.18,35,Shaco,5,1,20.0,10.417
15.18,101,Xerath,5,2,40.0,10.417
15.18,157,Yasuo,5,2,40.0,10.417
15.18,799,Ambessa,4,2,50.0,8.333
15.18,32,Amumu,4,2,50.0,8.333
15.18,1,Annie,4,1,25.0,8.333
15.18,31,Chogath,4,2,50.0,8.333
15.18,122,Darius,4,2,50.0,8.333
15.18,119,Draven,4,4,100.0,8.333
15.18,40,Janna,4,3,75.0,8.333
15.18,38,Kassadin,4,1,25.0,8.333
15.18,55,Katarina,4,2,50.0,8.333
15.18,10,Kayle,4,3,75.0,8.333
15.18,141,Kayn,4,2,50.0,8.333
15.18,90,Malzahar,4,3,75.0,8.333
15.18,62,MonkeyKing,4,1,25.0,8.333
15.18,111,Nautilus,4,2,50.0,8.333
15.18,61,Orianna,4,2,50.0,8.333
15.18,80,Pantheon,4,2,50.0,8.333
15.18,555,Pyke,4,1,25.0,8.333
15.18,497,Rakan,4,3,75.0,8.333
15.18,421,RekSai,4,2,50.0,8.333
15.18,147,Seraphine,4,3,75.0,8.333
15.18,27,Singed,4,3,75.0,8.333
15.18,134,Syndra,4,2,50.0,8.333
15.18,18,Tristana,4,1,25.0,8.333
15.18,4,TwistedFate,4,3,75.0,8.333
15.18,67,Vayne,4,3,75.0,8.333
15.18,234,Viego,4,0,0.0,8.333
15.18,19,Warwick,4,2,50.0,8.333
15.18,804,Yunara,4,1,25.0,8.333
15.18,523,Aphelios,3,2,66.67,6.25
15.18,233,Briar,3,2,66.67,6.25
15.18,36,DrMundo,3,2,66.67,6.25
