patch,championId,championName,win_rate,pick_rate,ban_rate,games,cluster,tier
15.20,266,Aatrox,50.0,4.082,9.2,10,0,S
15.20,103,Ahri,50.0,4.082,3.6,10,1,B
15.20,84,Akali,40.0,4.082,9.6,10,0,S
15.20,166,Akshan,30.0,4.082,5.6,10,0,S
15.20,12,Alistar,40.0,4.082,2.4,10,1,B
15.20,799,Ambessa,80.0,4.082,12.4,10,0,S
15.20,32,Amumu,50.0,4.082,5.2,10,0,S
15.20,34,Anivia,60.0,4.082,3.2,10,1,B
15.20,523,Aphelios,30.0,4.082,2.0,10,1,B
15.20,22,Ashe,50.0,4.082,7.6,10,0,S
15.20,893,Aurora,40.0,4.082,3.2,10,1,B
15.20,432,Bard,60.0,4.082,0.8,10,1,B
15.20,63,Brand,30.0,4.082,3.2,10,1,B
15.20,201,Braum,50.0,4.082,3.6,10,1,B
15.20,233,Briar,50.0,4.082,14.4,10,0,S
15.20,51,Caitlyn,30.0,4.082,15.2,10,0,S
15.20,164,Camille,50.0,4.082,1.2,10,1,B
15.20,31,Chogath,60.0,4.082,0.8,10,1,B
15.20,42,Corki,40.0,4.082,0.0,10,3,C
15.20,122,Darius,40.0,4.082,14.4,10,0,S
15.20,131,Diana,40.0,4.082,16.8,10,0,S
15.20,36,DrMundo,50.0,4.082,14.4,10,0,S
15.20,119,Draven,90.0,4.082,22.4,10,0,S
15.20,245,Ekko,50.0,4.082,3.2,10,1,B
15.20,81,Ezreal,20.0,4.082,2.4,10,1,B
15.20,114,Fiora,70.0,4.082,8.8,10,0,S
15.20,105,Fizz,70.0,4.082,12.4,10,0,S
15.20,3,Galio,50.0,4.082,4.4,10,0,S
15.20,86,Garen,50.0,4.082,9.2,10,0,S
15.20,79,Gragas,40.0,4.082,1.2,10,1,B
15.20,910,Hwei,40.0,4.082,4.4,10,0,S
15.20,39,Irelia,20.0,4.082,10.8,10,0,S
15.20,427,Ivern,60.0,4.082,0.4,10,1,B
15.20,59,JarvanIV,50.0,4.082,4.4,10,0,S
15.20,24,Jax,60.0,4.082,16.0,10,0,S
15.20,126,Jayce,50.0,4.082,1.2,10,1,B
15.20,202,Jhin,60.0,4.082,2.4,10,1,B
15.20,222,Jinx,50.0,4.082,7.2,10,0,S
15.20,145,Kaisa,20.0,4.082,0.4,10,1,B
15.20,43,Karma,70.0,4.082,4.4,10,0,S
15.20,30,Karthus,70.0,4.082,0.8,10,1,B
15.20,55,Katarina,30.0,4.082,5.6,10,0,S
15.20,141,Kayn,80.0,4.082,8.0,10,0,S
15.20,121,Khazix,50.0,4.082,3.2,10,1,B
15.20,7,Leblanc,60.0,4.082,14.4,10,0,S
15.20,64,LeeSin,60.0,4.082,2.4,10,1,B
15.20,89,Leona,60.0,4.082,4.0,10,0,S
15.20,876,Lillia,40.0,4.082,5.2,10,0,S
