patch,champion,win_rate,pick_rate,ban_rate,rank
15.20,Ashe,51.34,14.88,10.66,1
15.20,Irelia,50.49,3.88,12.78,2
15.20,Nami,51.97,7.7,1.51,3
15.20,Sion,51.63,5.83,2.05,4
15.20,Taric,52.53,1.17,0.23,5
15.20,Viego,50.8,10.53,8.91,6
15.20,Poppy,50.61,2.2,2.54,7
15.20,Diana,51.7,9.1,13.45,8
15.20,Jarvan IV,50.58,7.18,2.06,9
15.20,Zyra,52.06,4.39,4.67,10
15.20,Urgot,51.73,2.85,1.7,11
15.20,Sona,52.02,2.66,0.26,12
15.20,Kog'Maw,52.55,2.16,1.23,13
15.20,Syndra,50.51,4.49,2.77,14
15.20,Anivia,51.18,2.06,1.44,15
15.20,Master Yi,51.06,8.56,16.71,16
15.20,Fiora,50.03,3.72,4.43,17
15.20,Jinx,51.45,17.92,7.42,18
15.20,Thresh,50.09,10.19,4.68,19
15.20,Dr. Mundo,51.42,5.74,7.25,20
15.20,Ekko,50.16,4.4,2.38,21
15.20,Singed,52.4,2.14,0.86,22
15.20,Ivern,50.03,0.82,0.34,23
15.20,Smolder,51.42,9.17,4.53,24
15.20,Janna,51.32,2.33,0.42,25
15.20,Vayne,51.67,7.28,6.35,26
15.20,Kayn,50.55,8.76,7.99,27
15.20,Kayle,51.52,3.61,2.54,28
15.20,Morgana,51.84,9.27,33.04,29
15.20,Amumu,52.42,4.39,3.15,30
15.20,Vladimir,50.56,3.34,6.76,31
15.20,Leona,50.96,7.48,8.21,32
15.20,Quinn,50.26,2.69,4.11,33
15.20,Naafiri,50.12,2.57,5.17,34
15.20,Soraka,51.72,4.74,2.36,35
15.20,Twitch,50.31,3.99,5.93,36
15.20,Kassadin,50.68,2.19,1.5,37
15.20,Elise,50.08,1.65,1.25,38
15.20,Sett,52.32,8.49,6.17,39
15.20,Xin Zhao,49.92,4.91,2.09,40
15.20,Cassiopeia,50.44,1.73,1.51,41
15.20,Ziggs,52.18,2.7,1.4,42
15.20,Seraphine,50.3,5.84,1.51,43
