patch,champion,win_rate,pick_rate,ban_rate,rank
15.17,Shaco,48.49,5.58,36.58,137
15.17,Renata Glasc,50.16,1.1,0.21,138
15.17,Lillia,50.22,3.08,2.34,139
15.17,Akshan,49.59,2.24,2.01,140
15.17,LeBlanc,49.56,4.73,16.76,141
15.17,Blitzcrank,49.23,5.89,16.06,142
15.17,Katarina,49.08,5.75,6.17,143
15.17,Skarner,44.57,0.58,0.31,144
15.17,Evelynn,49.64,2.46,2.31,145
15.17,Aatrox,49.22,6.97,9.23,146
15.17,Neeko,48.67,3.17,1.89,147
15.17,Aurora,49.02,3.35,4.27,148
15.17,Gragas,48.68,1.91,0.77,149
15.17,Twisted Fate,49.65,3.63,1.1,150
15.17,Seraphine,49.0,4.74,1.31,151
15.17,Annie,50.48,2.56,1.09,152
15.17,Sejuani,49.06,1.92,0.32,153
15.17,Yuumi,47.89,4.82,5.46,154
15.17,Zed,48.79,7.2,26.02,155
15.17,Vi,48.49,3.74,0.95,156
15.17,Gwen,45.25,2.45,3.15,157
15.17,Tahm Kench,49.44,3.15,2.95,158
15.17,K'Sante,46.61,3.1,1.91,159
15.17,Cassiopeia,49.53,1.21,1.07,160
15.17,Akali,49.69,7.86,12.17,161
15.17,Darius,48.89,8.58,18.37,162
15.17,Ahri,49.32,8.09,3.24,163
15.17,Lissandra,50.36,2.46,1.32,164
15.17,Gangplank,48.59,2.99,1.81,165
15.17,Gnar,49.04,2.83,0.74,166
15.17,Taliyah,48.31,1.78,0.38,167
15.17,Ryze,49.43,3.12,0.53,168
15.17,Azir,47.32,2.62,0.67,169
15.17,Yone,47.92,7.28,6.38,170
15.17,Mel,48.23,5.37,28.97,171
