patch,champion,win_rate,pick_rate,ban_rate,rank
15.18,Cassiopeia,50.81,1.72,1.7,1
15.18,Nami,52.0,8.14,1.72,2
15.18,Sona,52.29,2.76,0.32,3
15.18,Irelia,50.54,3.94,12.78,4
15.18,Viego,50.52,11.32,9.4,5
15.18,Sivir,51.66,8.55,9.95,6
15.18,Janna,51.73,2.51,0.5,7
15.18,Ekko,50.56,4.09,2.46,8
15.18,Hwei,50.79,4.77,3.71,9
15.18,Kled,51.91,1.48,0.91,10
15.18,Kog'Maw,52.61,2.09,1.36,11
15.18,Thresh,50.21,10.62,5.04,12
15.18,Sion,51.65,4.66,1.5,13
15.18,Soraka,51.83,4.57,2.32,14
15.18,Volibear,52.75,7.78,13.58,15
15.18,Vladimir,50.91,3.41,6.82,16
15.18,Warwick,52.94,7.0,14.1,17
15.18,Zyra,52.27,4.63,4.94,18
15.18,Sett,52.3,9.14,6.61,19
15.18,Smolder,51.61,9.12,4.29,20
15.18,Master Yi,50.77,8.23,16.59,21
15.18,Singed,52.38,2.32,1.07,22
15.18,Karma,50.36,5.75,3.04,23
15.18,Jinx,50.98,13.33,3.68,24
15.18,Taric,52.64,1.23,0.27,25
15.18,Vayne,51.68,7.96,7.21,26
15.18,Garen,52.31,8.39,4.91,27
15.18,Diana,51.49,5.17,7.3,28
15.18,Olaf,50.37,1.79,1.18,29
15.18,Amumu,52.85,4.54,3.36,30
15.18,Urgot,52.01,3.09,1.83,31
15.18,Elise,50.03,1.72,1.31,32
15.18,Poppy,50.79,2.08,2.66,33
15.18,Zilean,51.51,2.01,0.7,34
15.18,Quinn,50.51,2.54,3.6,35
15.18,Nilah,53.04,1.68,3.04,36
15.18,Naafiri,50.23,2.27,4.54,37
15.18,Jarvan IV,50.68,6.34,1.63,38
15.18,Zeri,50.0,2.14,0.31,39
15.18,Bard,50.05,3.43,0.91,40
15.18,Shen,50.76,3.47,0.97,41
15.18,Kai'Sa,49.56,17.17,3.06,42
15.18,Bel'Veth,49.96,1.7,2.59,43
15.18,Milio,52.75,6.78,5.67,44
15.18,Kayle,51.88,3.79,2.58,45
15.18,Miss Fortune,51.5,14.78,5.38,46
15.18,Kayn,50.56,9.62,8.58,47
15.18,Ashe,51.44,14.85,7.24,48
15.18,Kassadin,50.53,2.5,1.72,49
15.18,Heimerdinger,50.97,2.06,4.96,50
15.18,Kha'Zix,50.22,6.17,3.81,51
15.18,Corki,48.5,2.07,0.42,52
15.18,Vel'Koz,51.51,3.38,1.72,53
15.18,Rek'Sai,49.37,1.16,0.77,54
15.18,Rammus,52.84,2.18,5.01,55
15.18,Briar,53.4,5.76,10.63,56
15.18,Fiddlesticks,50.57,2.23,1.23,57
15.18,Malzahar,52.23,7.67,16.34,58
15.18,Jax,49.9,6.53,6.95,59
15.18,Fizz,51.17,4.71,7.99,60
15.18,Brand,52.24,4.06,4.62,61
15.18,Talon,49.26,2.52,2.11,62
15.18,Yasuo,50.07,10.41,21.99,63
15.18,Jhin,49.9,17.48,4.1,64
15.18,Morgana,51.83,9.15,27.01,65
15.18,Twitch,50.52,4.47,6.56,66
15.18,Cho'Gath,50.94,3.8,1.55,67
15.18,Ivern,50.32,0.86,0.36,68
15.18,Nunu & Willump,50.04,2.38,0.72,69
15.18,Dr. Mundo,50.95,4.89,7.18,70
15.18,Ziggs,52.18,2.73,1.18,71
15.18,Renekton,49.78,5.03,3.44,72
15.18,Wukong,51.1,4.17,1.49,73
15.18,Leona,51.08,7.8,8.33,74
15.18,Teemo,51.27,5.71,16.14,75
15.18,Anivia,51.22,1.42,1.13,76
15.18,Lucian,48.77,8.51,4.54,77
15.18,Rell,49.56,2.95,1.21,78
15.18,Lillia,50.12,3.28,2.36,79
15.18,Draven,48.4,3.03,9.5,80
15.18,Zac,49.64,2.4,1.19,81
15.18,Mordekaiser,51.69,9.07,17.47,82
15.18,Trundle,51.07,3.25,2.86,83
15.18,Maokai,50.87,1.93,0.35,84
15.18,Xayah,49.48,4.05,0.62,85
15.18,Yorick,52.11,5.17,14.77,86
15.18,Braum,50.16,4.0,2.93,87
15.18,Aphelios,49.7,5.48,2.49,88
15.18,Karthus,48.8,1.42,0.72,89
15.18,Xerath,50.64,3.91,8.75,90
15.18,Samira,50.23,5.25,10.01,91
15.18,Tristana,49.04,6.4,3.52,92
15.18,Ornn,51.02,2.75,0.5,93
15.18,Alistar,49.01,3.7,1.54,94
15.18,Fiora,49.53,4.18,4.63,95
15.18,Kindred,49.2,2.56,1.52,96
15.18,Varus,46.73,4.82,1.06,97
15.18,Senna,49.55,4.38,1.7,98
15.18,Qiyana,45.29,2.55,5.01,99
15.18,Aatrox,49.11,7.36,9.74,100
15.18,Yunara,46.17,6.19,14.33,101
15.18,Malphite,51.29,5.73,9.62,102
15.18,Nocturne,50.56,5.84,11.01,103
15.18,Pantheon,49.24,3.88,5.0,104
15.18,Viktor,50.25,4.28,2.41,105
15.18,Ezreal,47.33,10.09,2.94,106
15.18,Renata Glasc,50.15,1.02,0.2,107
15.18,Caitlyn,49.43,15.63,18.08,108
15.18,Hecarim,48.45,2.6,1.56,109
15.18,Jayce,47.97,3.03,2.6,110
15.18,Aurelion Sol,50.42,2.08,0.94,111
15.18,Xin Zhao,49.4,5.62,3.14,112
15.18,Kalista,46.02,1.01,0.32,113
15.18,Pyke,48.84,6.89,17.44,114
15.18,Orianna,48.56,5.3,1.25,115
