patch,championId,championName,games,wins,win_rate,pick_rate,ban_rate,rank
15.16,103,Ahri,10,5,50.0,14.085,1.408,5
15.16,51,Caitlyn,10,3,30.0,14.085,18.31,8
15.16,245,Ekko,10,3,30.0,14.085,2.817,5
15.16,222,Jinx,10,6,60.0,14.085,1.408,5
15.16,145,Kaisa,10,5,50.0,14.085,0.0,5
15.16,11,MasterYi,10,9,90.0,14.085,18.31,9
15.16,21,MissFortune,10,8,80.0,14.085,2.817,5
15.16,82,Mordekaiser,10,4,40.0,14.085,18.31,8
15.16,111,Nautilus,10,7,70.0,14.085,14.085,8
15.16,17,Teemo,10,5,50.0,14.085,11.268,2
15.16,67,Vayne,10,4,40.0,14.085,1.408,5
15.16,234,Viego,10,7,70.0,14.085,5.634,5
15.16,804,Yunara,10,5,50.0,14.085,21.127,8
15.16,238,Zed,10,9,90.0,14.085,11.268,5
15.16,117,Lulu,9,7,77.78,12.676,7.042,5
15.16,99,Lux,9,1,11.11,12.676,12.676,8
15.16,902,Milio,9,5,55.56,12.676,12.676,5
15.16,267,Nami,9,7,77.78,12.676,9.859,2
15.16,75,Nasus,9,6,66.67,12.676,7.042,5
15.16,901,Smolder,9,6,66.67,12.676,7.042,5
15.16,50,Swain,8,3,37.5,11.268,2.817,5
15.16,106,Volibear,8,4,50.0,11.268,18.31,8
15.16,157,Yasuo,8,5,62.5,11.268,18.31,9
15.16,523,Aphelios,7,2,28.57,9.859,1.408,5
15.16,233,Briar,7,3,42.86,9.859,9.859,5
15.16,39,Irelia,7,2,28.57,9.859,12.676,8
15.16,90,Malzahar,7,4,57.14,9.859,16.901,8
15.16,80,Pantheon,7,5,71.43,9.859,7.042,5
15.16,555,Pyke,7,3,42.86,9.859,26.761,14
15.16,875,Sett,7,3,42.86,9.859,5.634,5
15.16,98,Shen,7,3,42.86,9.859,0.0,5
15.16,14,Sion,7,2,28.57,9.859,1.408,5
15.16,15,Sivir,7,2,28.57,9.859,7.042,5
15.16,91,Talon,7,1,14.29,9.859,2.817,5
15.16,266,Aatrox,6,2,33.33,8.451,9.859,8
15.16,84,Akali,6,3,50.0,8.451,16.901,16
15.16,799,Ambessa,6,2,33.33,8.451,0.0,5
15.16,32,Amumu,6,3,50.0,8.451,2.817,5
15.16,22,Ashe,6,3,50.0,8.451,4.225,5
15.16,202,Jhin,6,0,0.0,8.451,5.634,79
