patch,champion,win_rate,pick_rate,ban_rate,rank
15.13,Urgot,51.87,3.05,1.64,1
15.13,Nami,52.15,8.82,2.16,2
15.13,Soraka,51.69,4.32,2.08,3
15.13,Kog'Maw,52.39,1.76,0.74,4
15.13,Ekko,50.47,4.71,3.02,5
15.13,Diana,50.81,5.76,7.02,6
15.13,Rell,50.83,3.82,1.69,7
15.13,Poppy,50.81,2.43,2.92,8
15.13,Pantheon,50.13,6.37,7.94,9
15.13,Jinx,51.4,15.25,5.18,10
15.13,Olaf,50.35,1.5,0.95,11
15.13,Zeri,50.28,3.59,0.76,12
15.13,Thresh,50.23,9.67,4.01,13
15.13,Ivern,50.6,0.91,0.4,14
15.13,Sona,52.41,2.77,0.25,15
15.13,Mordekaiser,52.34,8.24,13.64,16
15.13,Yasuo,50.5,10.61,23.77,17
15.13,Xin Zhao,50.57,5.43,2.75,18
15.13,Dr. Mundo,51.1,8.01,15.19,19
15.13,Janna,51.69,2.59,0.49,20
15.13,Smolder,51.2,8.58,4.48,21
15.13,Volibear,52.63,5.32,5.52,22
15.13,Braum,51.65,5.84,6.62,23
15.13,Senna,50.55,4.52,5.03,24
15.13,Ornn,51.27,3.08,0.5,25
15.13,Teemo,51.46,5.69,15.91,26
15.13,Leona,50.91,7.08,7.9,27
15.13,Vladimir,51.02,3.47,6.87,28
15.13,Shen,50.44,3.99,2.09,29
15.13,Naafiri,50.0,3.15,9.42,30
15.13,Twisted Fate,50.15,6.2,4.83,31
15.13,Quinn,51.3,2.34,2.42,32
15.13,Bard,50.4,3.05,0.71,33
15.13,Jarvan IV,51.48,5.51,1.7,34
15.13,Nocturne,51.81,8.6,17.37,35
15.13,Kennen,50.03,2.02,1.4,36
15.13,Lulu,50.69,8.56,11.98,37
15.13,Jhin,50.2,16.76,4.45,38
15.13,Sivir,52.16,8.91,5.99,39
15.13,Cho'Gath,51.2,4.0,1.79,40
15.13,Vex,51.16,3.95,4.57,41
15.13,Nunu & Willump,50.0,2.35,0.63,42
15.13,Vayne,51.03,7.67,5.64,43
15.13,Sett,52.71,9.66,8.32,44
15.13,Galio,51.14,4.35,3.19,45
15.13,Kayle,51.79,4.41,3.16,46
15.13,Warwick,52.35,7.11,13.29,47
15.13,Master Yi,50.47,7.3,12.69,48
15.13,Miss Fortune,51.11,13.58,5.48,49
15.13,Irelia,49.99,3.58,11.05,50
15.13,Fiddlesticks,50.55,2.62,1.63,51
15.13,Taric,52.7,1.14,0.23,52
15.13,Trundle,53.19,6.64,6.35,53
15.13,Malzahar,52.23,7.46,15.34,54
15.13,Zilean,51.02,2.03,0.7,55
15.13,Twitch,50.84,4.45,5.37,56
15.13,Rammus,52.06,2.21,4.77,57
15.13,Zyra,51.51,4.09,4.49,58
15.13,Samira,50.53,6.1,11.32,59
15.13,Jax,49.86,6.75,5.8,60
15.13,Wukong,51.15,3.29,1.11,61
15.13,Milio,52.58,5.72,3.24,62
15.13,Alistar,49.99,4.24,1.74,63
15.13,Singed,51.22,1.61,0.46,64
15.13,Briar,52.7,4.9,7.61,65
15.13,Nilah,53.15,2.38,3.84,66
15.13,Anivia,51.24,1.51,1.21,67
15.13,Heimerdinger,50.73,1.85,4.46,68
15.13,Ezreal,47.54,12.68,4.42,69
15.13,Kayn,50.11,10.06,9.24,70
15.13,Brand,50.6,3.42,4.36,71
15.13,Fiora,49.84,3.43,3.66,72
15.13,Amumu,51.64,4.16,3.29,73
15.13,Renekton,50.23,5.75,3.66,74
15.13,Lucian,49.48,11.93,11.98,75
15.13,Karthus,48.26,1.43,0.74,76
15.13,Swain,50.05,3.82,2.9,77
15.13,Aphelios,49.88,6.02,2.29,78
15.13,Talon,48.53,2.37,2.3,79
15.13,Draven,48.21,3.31,11.41,80
15.13,Rakan,49.5,3.78,0.43,81
15.13,Yorick,52.03,5.47,18.57,82
15.13,Tristana,49.84,7.67,4.88,83
15.13,Nidalee,46.91,2.75,0.92,84
15.13,Vel'Koz,51.04,2.9,1.33,85
15.13,Elise,49.61,1.88,1.72,86
15.13,Xerath,50.63,4.04,8.87,87
15.13,Malphite,51.56,5.51,8.35,88
15.13,Maokai,50.96,1.91,0.35,89
15.13,Kai'Sa,48.83,15.23,2.4,90
15.13,Morgana,51.4,8.29,22.7,91
15.13,Syndra,50.06,4.0,2.72,92
15.13,Zac,48.86,2.64,1.3,93
15.13,Xayah,50.01,5.16,0.87,94
15.13,Corki,47.84,1.55,0.37,95
15.13,Varus,47.24,5.73,1.48,96
15.13,Bel'Veth,49.06,1.48,1.67,97
15.13,Sion,50.58,4.2,1.26,98
15.13,Fizz,50.61,4.33,7.01,99
15.13,Veigar,51.48,5.7,2.87,100
15.13,Lee Sin,49.18,12.85,15.37,101
15.13,Viego,49.78,11.02,8.04,102
15.13,Ambessa,48.23,3.69,5.38,103
15.13,Annie,50.85,2.87,1.3,104
15.13,Ashe,49.78,8.09,2.9,105
15.13,Hecarim,48.33,2.71,1.63,106
15.13,Kled,50.32,1.22,0.67,107
15.13,Akali,49.94,7.79,11.68,108
15.13,Shyvana,50.57,1.85,0.42,109
15.13,Ziggs,50.1,1.29,0.47,110
15.13,Kalista,45.03,1.15,0.42,111
15.13,Lillia,50.09,3.51,2.96,112
15.13,Hwei,50.33,4.05,2.6,113
15.13,Shaco,48.91,6.53,39.93,114
15.13,Caitlyn,49.62,17.73,20.79,115
15.13,Lux,49.94,12.15,15.85,116
15.13,Zoe,49.38,3.08,4.0,117
15.13,Rek'Sai,48.67,0.66,0.24,118
15.13,Aurelion Sol,50.8,2.3,1.03,119
15.13,Riven,48.96,3.37,1.61,120
15.13,Viktor,50.08,4.94,3.27,121
15.13,Neeko,48.51,3.11,1.92,122
15.13,Nasus,51.22,4.59,4.97,123
15.13,Graves,49.35,4.74,2.85,124
15.13,Pyke,48.45,5.96,15.31,125
15.13,Garen,50.69,5.82,3.75,126
15.13,Kha'Zix,49.7,5.94,3.69,127
15.13,Cassiopeia,49.52,1.27,1.14,128
15.13,Karma,49.74,6.12,3.29,129
15.13,Kindred,48.46,2.9,1.54,130
15.13,Rumble,46.59,1.54,0.44,131
15.13,Aurora,49.22,3.77,3.7,132
15.13,Blitzcrank,49.21,5.52,16.29,133
15.13,Sylas,49.32,8.84,9.24,134
15.13,Renata Glasc,49.64,1.12,0.22,135
15.13,Rengar,46.12,2.3,1.78,136
15.13,Nautilus,49.13,9.2,12.91,137
15.13,Vi,47.98,4.57,1.57,138
15.13,Orianna,49.1,4.28,0.82,139
15.13,Gragas,48.9,2.2,0.84,140
15.13,Sejuani,48.76,2.4,0.43,141
15.13,LeBlanc,49.76,4.84,16.67,142
15.13,Gwen,47.55,3.3,4.73,143
15.13,Udyr,48.99,2.22,1.63,144
15.13,Yuumi,48.96,5.73,6.71,145
15.13,Evelynn,49.23,2.82,2.51,146
15.13,Illaoi,50.22,3.06,8.29,147
15.13,Jayce,47.52,3.14,2.89,148
15.13,Seraphine,49.06,4.89,1.37,149
15.13,Camille,48.9,2.18,0.84,150
15.13,Gangplank,49.02,3.29,2.67,151
15.13,Skarner,43.5,0.71,0.43,152
15.13,Taliyah,48.16,1.71,0.36,153
15.13,Aatrox,48.92,7.75,10.53,154
15.13,Yone,47.72,6.77,7.13,155
15.13,K'Sante,46.34,2.76,1.7,156
15.13,Lissandra,50.44,2.61,1.35,157
15.13,Darius,48.4,7.33,17.44,158
15.13,Akshan,49.43,1.97,1.97,159
15.13,Ahri,49.26,8.34,3.58,160
