patch,championId,championName,games,wins,win_rate,pick_rate,ban_rate,rank
15.18,202,Jhin,10,6,60.0,14.493,4.348,5
15.18,99,Lux,10,4,40.0,14.493,7.246,5
15.18,25,Morgana,10,5,50.0,14.493,18.841,8
15.18,267,Nami,10,4,40.0,14.493,5.797,5
15.18,80,Pantheon,10,4,40.0,14.493,2.899,5
15.18,15,Sivir,10,5,50.0,14.493,11.594,5
15.18,517,Sylas,10,4,40.0,14.493,26.087,14
15.18,234,Viego,10,7,70.0,14.493,18.841,8
15.18,157,Yasuo,10,6,60.0,14.493,26.087,14
15.18,777,Yone,10,7,70.0,14.493,0.0,5
15.18,22,Ashe,9,7,77.78,13.043,10.145,2
15.18,222,Jinx,9,5,55.56,13.043,1.449,5
15.18,64,LeeSin,9,5,55.56,13.043,1.449,5
15.18,236,Lucian,9,4,44.44,13.043,1.449,5
15.18,117,Lulu,9,6,66.67,13.043,5.797,5
15.18,17,Teemo,9,7,77.78,13.043,17.391,8
15.18,106,Volibear,9,2,22.22,13.043,14.493,8
15.18,86,Garen,8,3,37.5,11.594,1.449,5
15.18,246,Qiyana,8,5,62.5,11.594,4.348,5
15.18,19,Warwick,8,4,50.0,11.594,14.493,8
15.18,51,Caitlyn,7,4,57.14,10.145,17.391,9
15.18,145,Kaisa,7,2,28.57,10.145,2.899,5
15.18,54,Malphite,7,4,57.14,10.145,14.493,8
15.18,800,Mel,7,1,14.29,10.145,28.986,14
15.18,75,Nasus,7,5,71.43,10.145,1.449,5
15.18,18,Tristana,7,2,28.57,10.145,5.797,5
15.18,48,Trundle,7,5,71.43,10.145,7.246,5
15.18,29,Twitch,7,2,28.57,10.145,11.594,8
15.18,45,Veigar,7,5,71.43,10.145,1.449,5
15.18,350,Yuumi,7,3,42.86,10.145,4.348,5
15.18,238,Zed,7,0,0.0,10.145,30.435,18
15.18,32,Amumu,6,1,16.67,8.696,10.145,8
15.18,910,Hwei,6,3,50.0,8.696,4.348,5
15.18,43,Karma,6,1,16.67,8.696,1.449,101
15.18,141,Kayn,6,3,50.0,8.696,4.348,5
15.18,203,Kindred,6,2,33.33,8.696,1.449,5
15.18,902,Milio,6,1,16.67,8.696,7.246,8
15.18,62,MonkeyKing,6,3,50.0,8.696,0.0,5
15.18,82,Mordekaiser,6,4,66.67,8.696,17.391,9
15.18,107,Rengar,6,4,66.67,8.696,15.942,9
15.18,147,Seraphine,6,2,33.33,8.696,1.449,5
15.18,37,Sona,6,3,50.0,8.696,1.449,5
15.18,412,Thresh,6,5,83.33,8.696,4.348,5
15.18,143,Zyra,6,6,100.0,8.696,7.246,5
15.18,266,Aatrox,5,2,40.0,7.246,4.348,5
15.18,84,Akali,5,1,20.0,7.246,14.493,29
15.18,523,Aphelios,5,2,40.0,7.246,2.899,5
15.18,268,Azir,5,1,20.0,7.246,0.0,5
15.18,122,Darius,5,4,80.0,7.246,17.391,9
15.18,81,Ezreal,5,2,40.0,7.246,2.899,5
15.18,59,JarvanIV,5,3,60.0,7.246,0.0,5
15.18,90,Malzahar,5,4,80.0,7.246,17.391,9
15.18,21,MissFortune,5,3,60.0,7.246,5.797,5
15.18,133,Quinn,5,3,60.0,7.246,10.145,1
15.18,58,Renekton,5,3,60.0,7.246,7.246,5
15.18,360,Samira,5,3,60.0,7.246,4.348,6
15.18,35,Shaco,5,2,40.0,7.246,30.435,18
15.18,134,Syndra,5,2,40.0,7.246,4.348,5
15.18,91,Talon,5,4,80.0,7.246,2.899,5
15.18,6,Urgot,5,4,80.0,7.246,2.899,5
15.18,110,Varus,5,4,80.0,7.246,1.449,5
15.18,103,Ahri,4,3,75.0,5.797,7.246,1
15.18,12,Alistar,4,1,25.0,5.797,2.899,11
15.18,34,Anivia,4,4,100.0,5.797,2.899,1
15.18,53,Blitzcrank,4,2,50.0,5.797,10.145,1
15.18,63,Brand,4,2,50.0,5.797,5.797,11
15.18,31,Chogath,4,1,25.0,5.797,0.0,6
15.18,131,Diana,4,3,75.0,5.797,10.145,1
15.18,36,DrMundo,4,2,50.0,5.797,17.391,16
15.18,245,Ekko,4,3,75.0,5.797,7.246,1
15.18,9,FiddleSticks,4,3,75.0,5.797,1.449,11
15.18,887,Gwen,4,2,50.0,5.797,5.797,11
15.18,39,Irelia,4,1,25.0,5.797,5.797,11
15.18,10,Kayle,4,1,25.0,5.797,2.899,11
15.18,127,Lissandra,4,0,0.0,5.797,0.0,79
15.18,11,MasterYi,4,1,25.0,5.797,18.841,29
15.18,111,Nautilus,4,2,50.0,5.797,13.043,1
15.18,27,Singed,4,3,75.0,5.797,2.899,1
15.18,14,Sion,4,1,25.0,5.797,1.449,10
15.18,901,Smolder,4,1,25.0,5.797,4.348,11
15.18,16,Soraka,4,2,50.0,5.797,1.449,5
15.18,50,Swain,4,2,50.0,5.797,2.899,5
15.18,67,Vayne,4,2,50.0,5.797,5.797,11
15.18,8,Vladimir,4,2,50.0,5.797,10.145,1
15.18,115,Ziggs,4,1,25.0,5.797,0.0,6
15.18,799,Ambessa,3,2,66.67,4.348,8.696,11
15.18,432,Bard,3,3,100.0,4.348,0.0,2
15.18,233,Briar,3,3,100.0,4.348,18.841,9
15.18,3,Galio,3,1,33.33,4.348,1.449,10
15.18,40,Janna,3,2,66.67,4.348,2.899,11
15.18,24,Jax,3,0,0.0,4.348,8.696,103
15.18,121,Khazix,3,1,33.33,4.348,2.899,10
15.18,240,Kled,3,1,33.33,4.348,0.0,6
15.18,7,Leblanc,3,0,0.0,4.348,10.145,48
15.18,89,Leona,3,1,33.33,4.348,5.797,11
15.18,76,Nidalee,3,1,33.33,4.348,0.0,6
15.18,555,Pyke,3,2,66.67,4.348,17.391,15
15.18,92,Riven,3,2,66.67,4.348,4.348,11
15.18,235,Senna,3,2,66.67,4.348,1.449,11
15.18,875,Sett,3,1,33.33,4.348,10.145,29
15.18,163,Taliyah,3,2,66.67,4.348,0.0,6
15.18,44,Taric,3,2,66.67,4.348,2.899,11
15.18,23,Tryndamere,3,3,100.0,4.348,2.899,1
15.18,254,Vi,3,1,33.33,4.348,1.449,10
15.18,112,Viktor,3,0,0.0,4.348,1.449,10
15.18,498,Xayah,3,3,100.0,4.348,0.0,2
15.18,83,Yorick,3,0,0.0,4.348,11.594,170
15.18,804,Yunara,3,1,33.33,4.348,11.594,29
15.18,221,Zeri,3,1,33.33,4.348,0.0,6
15.18,166,Akshan,2,2,100.0,2.899,4.348,1
15.18,893,Aurora,2,1,50.0,2.899,4.348,11
15.18,200,Belveth,2,1,50.0,2.899,18.841,29
15.18,105,Fizz,2,1,50.0,2.899,11.594,2
15.18,150,Gnar,2,0,0.0,2.899,2.899,10
15.18,120,Hecarim,2,1,50.0,2.899,4.348,11
15.18,74,Heimerdinger,2,1,50.0,2.899,4.348,11
15.18,420,Illaoi,2,2,100.0,2.899,8.696,1
15.18,38,Kassadin,2,0,0.0,2.899,0.0,154
15.18,55,Katarina,2,1,50.0,2.899,2.899,11
15.18,96,KogMaw,2,1,50.0,2.899,0.0,10
15.18,876,Lillia,2,1,50.0,2.899,0.0,10
15.18,57,Maokai,2,0,0.0,2.899,1.449,10
15.18,950,Naafiri,2,2,100.0,2.899,4.348,1
15.18,895,Nilah,2,1,50.0,2.899,7.246,11
15.18,56,Nocturne,2,0,0.0,2.899,11.594,48
15.18,20,Nunu,2,0,0.0,2.899,2.899,10
15.18,61,Orianna,2,2,100.0,2.899,0.0,8
15.18,516,Ornn,2,0,0.0,2.899,2.899,10
15.18,497,Rakan,2,0,0.0,2.899,0.0,154
15.18,421,RekSai,2,1,50.0,2.899,0.0,10
15.18,526,Rell,2,1,50.0,2.899,0.0,10
15.18,888,Renata,2,0,0.0,2.899,0.0,154
15.18,68,Rumble,2,1,50.0,2.899,1.449,11
15.18,13,Ryze,2,1,50.0,2.899,0.0,10
15.18,223,TahmKench,2,1,50.0,2.899,1.449,11
15.18,4,TwistedFate,2,1,50.0,2.899,0.0,10
15.18,161,Velkoz,2,0,0.0,2.899,0.0,154
15.18,101,Xerath,2,2,100.0,2.899,13.043,1
15.18,5,XinZhao,2,1,50.0,2.899,1.449,11
15.18,142,Zoe,2,2,100.0,2.899,0.0,8
15.18,136,AurelionSol,1,1,100.0,1.449,2.899,2
15.18,164,Camille,1,0,0.0,1.449,1.449,10
15.18,69,Cassiopeia,1,0,0.0,1.449,1.449,10
15.18,119,Draven,1,0,0.0,1.449,18.841,29
15.18,60,Elise,1,0,0.0,1.449,1.449,10
15.18,114,Fiora,1,0,0.0,1.449,5.797,59
15.18,41,Gangplank,1,1,100.0,1.449,1.449,2
15.18,79,Gragas,1,0,0.0,1.449,0.0,10
15.18,104,Graves,1,1,100.0,1.449,2.899,2
15.18,427,Ivern,1,1,100.0,1.449,0.0,8
15.18,126,Jayce,1,0,0.0,1.449,1.449,10
15.18,897,KSante,1,0,0.0,1.449,1.449,10
15.18,85,Kennen,1,1,100.0,1.449,1.449,2
15.18,2,Olaf,1,0,0.0,1.449,0.0,10
15.18,78,Poppy,1,1,100.0,1.449,5.797,1
15.18,113,Sejuani,1,0,0.0,1.449,0.0,10
15.18,102,Shyvana,1,1,100.0,1.449,0.0,8
15.18,72,Skarner,1,1,100.0,1.449,0.0,8
