patch,championId,championName,games,wins,win_rate,pick_rate
15.20,51,Caitlyn,10,5,50.0,20.0
15.20,222,Jinx,10,6,60.0,20.0
15.20,800,Mel,10,6,60.0,20.0
15.20,59,JarvanIV,9,4,44.44,18.0
15.20,21,MissFortune,8,5,62.5,16.0
15.20,412,Thresh,8,4,50.0,16.0
15.20,902,Milio,7,4,57.14,14.0
15.20,555,Pyke,7,5,71.43,14.0
15.20,246,Qiyana,7,3,42.86,14.0
15.20,901,Smolder,7,4,57.14,14.0
15.20,50,Swain,7,3,42.86,14.0
15.20,517,Sylas,7,3,42.86,14.0
15.20,432,Bard,6,3,50.0,12.0
15.20,131,Diana,6,3,50.0,12.0
15.20,104,Graves,6,1,16.67,12.0
15.20,24,Jax,6,4,66.67,12.0
15.20,145,Kaisa,6,4,66.67,12.0
15.20,11,MasterYi,6,2,33.33,12.0
15.20,111,Nautilus,6,4,66.67,12.0
15.20,80,Pantheon,6,4,66.67,12.0
15.20,29,Twitch,6,4,66.67,12.0
15.20,45,Veigar,6,2,33.33,12.0
15.20,804,Yunara,6,2,33.33,12.0
15.20,103,Ahri,5,4,80.0,10.0
15.20,22,Ashe,5,2,40.0,10.0
15.20,36,DrMundo,5,2,40.0,10.0
15.20,245,Ekko,5,2,40.0,10.0
15.20,114,Fiora,5,4,80.0,10.0
15.20,105,Fizz,5,0,0.0,10.0
15.20,86,Garen,5,5,100.0,10.0
15.20,202,Jhin,5,1,20.0,10.0
15.20,43,Karma,5,1,20.0,10.0
15.20,141,Kayn,5,1,20.0,10.0
15.20,89,Leona,5,1,20.0,10.0
15.20,99,Lux,5,2,40.0,10.0
15.20,82,Mordekaiser,5,2,40.0,10.0
15.20,25,Morgana,5,5,100.0,10.0
15.20,61,Orianna,5,2,40.0,10.0
15.20,235,Senna,5,1,20.0,10.0
15.20,16,Soraka,5,3,60.0,10.0
15.20,161,Velkoz,5,3,60.0,10.0
15.20,157,Yasuo,5,1,20.0,10.0
15.20,777,Yone,5,3,60.0,10.0
15.20,799,Ambessa,4,2,50.0,8.0
15.20,164,Camille,4,3,75.0,8.0
15.20,31,Chogath,4,0,0.0,8.0
15.20,81,Ezreal,4,4,100.0,8.0
15.20,3,Galio,4,1,25.0,8.0
15.20,41,Gangplank,4,3,75.0,8.0
15.20,64,LeeSin,4,3,75.0,8.0
15.20,236,Lucian,4,3,75.0,8.0
15.20,117,Lulu,4,2,50.0,8.0
15.20,58,Renekton,4,1,25.0,8.0
15.20,107,Rengar,4,3,75.0,8.0
15.20,35,Shaco,4,1,25.0,8.0
15.20,91,Talon,4,2,50.0,8.0
15.20,18,Tristana,4,3,75.0,8.0
15.20,23,Tryndamere,4,1,25.0,8.0
15.20,112,Viktor,4,2,50.0,8.0
15.20,8,Vladimir,4,2,50.0,8.0
15.20,238,Zed,4,3,75.0,8.0
15.20,266,Aatrox,3,2,66.67,6.0
15.20,84,Akali,3,0,0.0,6.0
