patch,championId,championName,games,wins,win_rate,pick_rate,ban_rate
15.20,222,Jinx,10,5,50.0,26.316,0.0
15.20,157,Yasuo,9,5,55.56,23.684,21.053
15.20,22,Ashe,8,3,37.5,21.053,2.632
15.20,141,Kayn,8,4,50.0,21.053,18.421
15.20,800,Mel,8,7,87.5,21.053,28.947
15.20,21,MissFortune,8,4,50.0,21.053,0.0
15.20,131,Diana,7,4,57.14,18.421,21.053
15.20,902,Milio,7,5,71.43,18.421,5.263
15.20,25,Morgana,7,2,28.57,18.421,15.789
15.20,246,Qiyana,7,1,14.29,18.421,7.895
15.20,35,Shaco,7,5,71.43,18.421,10.526
15.20,103,Ahri,5,3,60.0,13.158,10.526
15.20,145,Kaisa,5,2,40.0,13.158,2.632
15.20,62,MonkeyKing,5,2,40.0,13.158,5.263
15.20,82,Mordekaiser,5,2,40.0,13.158,15.789
15.20,16,Soraka,5,2,40.0,13.158,0.0
15.20,517,Sylas,5,2,40.0,13.158,7.895
15.20,161,Velkoz,5,2,40.0,13.158,2.632
15.20,32,Amumu,4,0,0.0,10.526,0.0
15.20,432,Bard,4,2,50.0,10.526,7.895
15.20,36,DrMundo,4,4,100.0,10.526,7.895
15.20,3,Galio,4,3,75.0,10.526,0.0
15.20,39,Irelia,4,2,50.0,10.526,13.158
15.20,96,KogMaw,4,0,0.0,10.526,0.0
15.20,127,Lissandra,4,4,100.0,10.526,0.0
15.20,236,Lucian,4,2,50.0,10.526,7.895
15.20,99,Lux,4,4,100.0,10.526,23.684
15.20,267,Nami,4,3,75.0,10.526,5.263
15.20,555,Pyke,4,0,0.0,10.526,36.842
15.20,58,Renekton,4,1,25.0,10.526,5.263
15.20,235,Senna,4,1,25.0,10.526,2.632
15.20,147,Seraphine,4,3,75.0,10.526,2.632
15.20,106,Volibear,4,2,50.0,10.526,2.632
15.20,19,Warwick,4,1,25.0,10.526,5.263
15.20,238,Zed,4,1,25.0,10.526,10.526
15.20,34,Anivia,3,1,33.33,7.895,5.263
15.20,31,Chogath,3,1,33.33,7.895,0.0
15.20,42,Corki,3,3,100.0,7.895,0.0
15.20,122,Darius,3,2,66.67,7.895,15.789
15.20,86,Garen,3,2,66.67,7.895,7.895
15.20,59,JarvanIV,3,1,33.33,7.895,0.0
15.20,126,Jayce,3,1,33.33,7.895,0.0
15.20,202,Jhin,3,0,0.0,7.895,0.0
15.20,55,Katarina,3,2,66.67,7.895,2.632
15.20,117,Lulu,3,1,33.33,7.895,10.526
15.20,54,Malphite,3,1,33.33,7.895,13.158
15.20,111,Nautilus,3,2,66.67,7.895,5.263
15.20,78,Poppy,3,0,0.0,7.895,7.895
15.20,13,Ryze,3,1,33.33,7.895,2.632
15.20,163,Taliyah,3,1,33.33,7.895,0.0
15.20,91,Talon,3,2,66.67,7.895,0.0
15.20,412,Thresh,3,2,66.67,7.895,2.632
15.20,67,Vayne,3,3,100.0,7.895,5.263
15.20,45,Veigar,3,3,100.0,7.895,0.0
15.20,234,Viego,3,2,66.67,7.895,7.895
15.20,777,Yone,3,1,33.33,7.895,2.632
15.20,166,Akshan,2,1,50.0,5.263,2.632
15.20,63,Brand,2,2,100.0,5.263,0.0
15.20,233,Briar,2,1,50.0,5.263,2.632
15.20,51,Caitlyn,2,1,50.0,5.263,44.737
15.20,164,Camille,2,0,0.0,5.263,0.0
15.20,119,Draven,2,2,100.0,5.263,31.579
15.20,245,Ekko,2,0,0.0,5.263,0.0
15.20,28,Evelynn,2,1,50.0,5.263,0.0
15.20,81,Ezreal,2,0,0.0,5.263,0.0
15.20,114,Fiora,2,1,50.0,5.263,15.789
15.20,41,Gangplank,2,0,0.0,5.263,0.0
15.20,79,Gragas,2,1,50.0,5.263,2.632
