patch,championId,championName,games,wins,win_rate,pick_rate
15.20,22,Ashe,10,4,40.0,9.901
15.20,201,Braum,10,3,30.0,9.901
15.20,51,Caitlyn,10,4,40.0,9.901
15.20,122,Darius,10,7,70.0,9.901
15.20,131,Diana,10,6,60.0,9.901
15.20,81,Ezreal,10,5,50.0,9.901
15.20,114,Fiora,10,6,60.0,9.901
15.20,86,Garen,10,5,50.0,9.901
15.20,910,Hwei,10,6,60.0,9.901
15.20,59,JarvanIV,10,6,60.0,9.901
15.20,202,Jhin,10,7,70.0,9.901
15.20,222,Jinx,10,4,40.0,9.901
15.20,99,Lux,10,3,30.0,9.901
15.20,11,MasterYi,10,4,40.0,9.901
15.20,800,Mel,10,5,50.0,9.901
15.20,21,MissFortune,10,5,50.0,9.901
15.20,82,Mordekaiser,10,7,70.0,9.901
15.20,25,Morgana,10,5,50.0,9.901
15.20,267,Nami,10,5,50.0,9.901
15.20,80,Pantheon,10,8,80.0,9.901
15.20,235,Senna,10,8,80.0,9.901
15.20,147,Seraphine,10,4,40.0,9.901
15.20,901,Smolder,10,3,30.0,9.901
15.20,517,Sylas,10,5,50.0,9.901
15.20,412,Thresh,10,4,40.0,9.901
15.20,45,Veigar,10,5,50.0,9.901
15.20,234,Viego,10,6,60.0,9.901
15.20,106,Volibear,10,6,60.0,9.901
15.20,157,Yasuo,10,6,60.0,9.901
15.20,893,Aurora,9,5,55.56,8.911
15.20,268,Azir,9,2,22.22,8.911
15.20,145,Kaisa,9,3,33.33,8.911
15.20,43,Karma,9,5,55.56,8.911
15.20,90,Malzahar,9,4,44.44,8.911
15.20,902,Milio,9,5,55.56,8.911
15.20,14,Sion,9,4,44.44,8.911
15.20,16,Soraka,9,3,33.33,8.911
15.20,50,Swain,9,3,33.33,8.911
15.20,29,Twitch,9,5,55.56,8.911
15.20,67,Vayne,9,4,44.44,8.911
15.20,8,Vladimir,9,5,55.56,8.911
15.20,32,Amumu,8,1,12.5,7.921
15.20,31,Chogath,8,6,75.0,7.921
15.20,420,Illaoi,8,4,50.0,7.921
15.20,62,MonkeyKing,8,3,37.5,7.921
15.20,246,Qiyana,8,6,75.0,7.921
15.20,134,Syndra,8,6,75.0,7.921
15.20,223,TahmKench,8,3,37.5,7.921
15.20,17,Teemo,8,5,62.5,7.921
15.20,18,Tristana,8,3,37.5,7.921
15.20,804,Yunara,8,4,50.0,7.921
15.20,143,Zyra,8,4,50.0,7.921
15.20,103,Ahri,7,4,57.14,6.931
15.20,245,Ekko,7,5,71.43,6.931
15.20,24,Jax,7,4,57.14,6.931
15.20,10,Kayle,7,5,71.43,6.931
15.20,141,Kayn,7,3,42.86,6.931
15.20,64,LeeSin,7,4,57.14,6.931
15.20,54,Malphite,7,5,71.43,6.931
15.20,75,Nasus,7,2,28.57,6.931
15.20,35,Shaco,7,2,28.57,6.931
15.20,15,Sivir,7,5,71.43,6.931
15.20,19,Warwick,7,4,57.14,6.931
15.20,101,Xerath,7,4,57.14,6.931
15.20,83,Yorick,7,3,42.86,6.931
15.20,84,Akali,6,1,16.67,5.941
15.20,41,Gangplank,6,3,50.0,5.941
15.20,236,Lucian,6,4,66.67,5.941
15.20,117,Lulu,6,2,33.33,5.941
15.20,58,Renekton,6,2,33.33,5.941
15.20,37,Sona,6,4,66.67,5.941
15.20,5,XinZhao,6,3,50.0,5.941
15.20,777,Yone,6,2,33.33,5.941
15.20,221,Zeri,6,1,16.67,5.941
15.20,266,Aatrox,5,1,20.0,4.95
15.20,12,Alistar,5,3,60.0,4.95
15.20,799,Ambessa,5,4,80.0,4.95
15.20,432,Bard,5,4,80.0,4.95
15.20,53,Blitzcrank,5,1,20.0,4.95
15.20,63,Brand,5,4,80.0,4.95
15.20,36,DrMundo,5,2,40.0,4.95
15.20,39,Irelia,5,3,60.0,4.95
15.20,7,Leblanc,5,3,60.0,4.95
15.20,89,Leona,5,3,60.0,4.95
15.20,876,Lillia,5,2,40.0,4.95
15.20,127,Lissandra,5,3,60.0,4.95
15.20,950,Naafiri,5,3,60.0,4.95
15.20,518,Neeko,5,3,60.0,4.95
15.20,20,Nunu,5,3,60.0,4.95
15.20,516,Ornn,5,2,40.0,4.95
15.20,497,Rakan,5,4,80.0,4.95
15.20,92,Riven,5,1,20.0,4.95
15.20,27,Singed,5,2,40.0,4.95
15.20,110,Varus,5,2,40.0,4.95
15.20,254,Vi,5,1,20.0,4.95
15.20,238,Zed,5,2,40.0,4.95
15.20,136,AurelionSol,4,1,25.0,3.96
15.20,9,FiddleSticks,4,2,50.0,3.96
15.20,85,Kennen,4,1,25.0,3.96
15.20,121,Khazix,4,1,25.0,3.96
15.20,203,Kindred,4,0,0.0,3.96
15.20,96,KogMaw,4,2,50.0,3.96
15.20,111,Nautilus,4,1,25.0,3.96
15.20,76,Nidalee,4,2,50.0,3.96
15.20,56,Nocturne,4,1,25.0,3.96
15.20,107,Rengar,4,2,50.0,3.96
15.20,875,Sett,4,2,50.0,3.96
15.20,98,Shen,4,3,75.0,3.96
15.20,48,Trundle,4,2,50.0,3.96
15.20,23,Tryndamere,4,2,50.0,3.96
15.20,161,Velkoz,4,2,50.0,3.96
15.20,112,Viktor,4,1,25.0,3.96
15.20,498,Xayah,4,3,75.0,3.96
15.20,154,Zac,4,2,50.0,3.96
15.20,115,Ziggs,4,0,0.0,3.96
15.20,34,Anivia,3,1,33.33,2.97
15.20,523,Aphelios,3,1,33.33,2.97
15.20,119,Draven,3,1,33.33,2.97
