patch,championId,championName,games,wins,win_rate,pick_rate
15.8,11,MasterYi,7,4,57.14,38.889
15.8,143,Zyra,7,6,85.71,38.889
15.8,145,Kaisa,6,1,16.67,33.333
15.8,21,MissFortune,5,3,60.0,27.778
15.8,36,DrMundo,4,2,50.0,22.222
15.8,222,Jinx,4,3,75.0,22.222
15.8,236,Lucian,4,4,100.0,22.222
15.8,17,Teemo,4,2,50.0,22.222
15.8,157,Yasuo,4,4,100.0,22.222
15.8,103,Ahri,3,2,66.67,16.667
15.8,31,Chogath,3,1,33.33,16.667
15.8,81,Ezreal,3,0,0.0,16.667
15.8,3,Galio,3,2,66.67,16.667
15.8,86,Garen,3,1,33.33,16.667
15.8,7,Leblanc,3,1,33.33,16.667
15.8,89,Leona,3,2,66.67,16.667
15.8,56,Nocturne,3,3,100.0,16.667
15.8,517,Sylas,3,2,66.67,16.667
15.8,112,Viktor,3,3,100.0,16.667
15.8,106,Volibear,3,2,66.67,16.667
15.8,777,Yone,3,0,0.0,16.667
15.8,34,Anivia,2,0,0.0,11.111
15.8,22,Ashe,2,1,50.0,11.111
15.8,51,Caitlyn,2,0,0.0,11.111
15.8,122,Darius,2,1,50.0,11.111
15.8,131,Diana,2,0,0.0,11.111
15.8,245,Ekko,2,0,0.0,11.111
15.8,887,Gwen,2,1,50.0,11.111
15.8,141,Kayn,2,0,0.0,11.111
15.8,117,Lulu,2,2,100.0,11.111
15.8,99,Lux,2,1,50.0,11.111
15.8,25,Morgana,2,1,50.0,11.111
15.8,267,Nami,2,2,100.0,11.111
15.8,75,Nasus,2,0,0.0,11.111
15.8,80,Pantheon,2,0,0.0,11.111
15.8,35,Shaco,2,0,0.0,11.111
15.8,901,Smolder,2,1,50.0,11.111
15.8,18,Tristana,2,1,50.0,11.111
15.8,48,Trundle,2,1,50.0,11.111
15.8,4,TwistedFate,2,2,100.0,11.111
15.8,6,Urgot,2,0,0.0,11.111
15.8,161,Velkoz,2,1,50.0,11.111
15.8,234,Viego,2,0,0.0,11.111
15.8,19,Warwick,2,1,50.0,11.111
15.8,84,Akali,1,1,100.0,5.556
15.8,166,Akshan,1,1,100.0,5.556
15.8,32,Amumu,1,1,100.0,5.556
15.8,523,Aphelios,1,1,100.0,5.556
15.8,136,AurelionSol,1,1,100.0,5.556
15.8,268,Azir,1,0,0.0,5.556
15.8,53,Blitzcrank,1,0,0.0,5.556
15.8,63,Brand,1,0,0.0,5.556
15.8,201,Braum,1,0,0.0,5.556
15.8,233,Briar,1,1,100.0,5.556
15.8,119,Draven,1,1,100.0,5.556
15.8,28,Evelynn,1,1,100.0,5.556
15.8,9,FiddleSticks,1,0,0.0,5.556
15.8,79,Gragas,1,1,100.0,5.556
15.8,104,Graves,1,1,100.0,5.556
15.8,910,Hwei,1,0,0.0,5.556
15.8,39,Irelia,1,0,0.0,5.556
15.8,59,JarvanIV,1,1,100.0,5.556
15.8,24,Jax,1,0,0.0,5.556
15.8,202,Jhin,1,1,100.0,5.556
15.8,85,Kennen,1,0,0.0,5.556
15.8,876,Lillia,1,0,0.0,5.556
15.8,90,Malzahar,1,1,100.0,5.556
15.8,57,Maokai,1,1,100.0,5.556
15.8,800,Mel,1,1,100.0,5.556
15.8,950,Naafiri,1,0,0.0,5.556
15.8,111,Nautilus,1,0,0.0,5.556
15.8,518,Neeko,1,0,0.0,5.556
15.8,78,Poppy,1,0,0.0,5.556
15.8,246,Qiyana,1,0,0.0,5.556
15.8,497,Rakan,1,1,100.0,5.556
15.8,526,Rell,1,0,0.0,5.556
15.8,92,Riven,1,0,0.0,5.556
15.8,360,Samira,1,0,0.0,5.556
15.8,113,Sejuani,1,1,100.0,5.556
15.8,875,Sett,1,1,100.0,5.556
15.8,98,Shen,1,0,0.0,5.556
15.8,27,Singed,1,1,100.0,5.556
15.8,37,Sona,1,1,100.0,5.556
15.8,223,TahmKench,1,0,0.0,5.556
15.8,412,Thresh,1,0,0.0,5.556
15.8,23,Tryndamere,1,1,100.0,5.556
15.8,29,Twitch,1,0,0.0,5.556
15.8,77,Udyr,1,1,100.0,5.556
15.8,110,Varus,1,1,100.0,5.556
15.8,45,Veigar,1,1,100.0,5.556
15.8,711,Vex,1,0,0.0,5.556
15.8,254,Vi,1,1,100.0,5.556
15.8,101,Xerath,1,0,0.0,5.556
15.8,5,XinZhao,1,0,0.0,5.556
15.8,83,Yorick,1,0,0.0,5.556
15.8,350,Yuumi,1,0,0.0,5.556
15.8,154,Zac,1,1,100.0,5.556
