patch,championId,championName,games,wins,win_rate,pick_rate
15.1,222,Jinx,10,3,30.0,35.714
15.1,99,Lux,10,7,70.0,35.714
15.1,21,MissFortune,9,5,55.56,32.143
15.1,51,Caitlyn,6,3,50.0,21.429
15.1,245,Ekko,6,2,33.33,21.429
15.1,223,TahmKench,6,5,83.33,21.429
15.1,19,Warwick,6,5,83.33,21.429
15.1,31,Chogath,5,3,60.0,17.857
15.1,122,Darius,5,2,40.0,17.857
15.1,11,MasterYi,5,1,20.0,17.857
15.1,25,Morgana,5,4,80.0,17.857
15.1,17,Teemo,5,3,60.0,17.857
15.1,266,Aatrox,4,1,25.0,14.286
15.1,131,Diana,4,2,50.0,14.286
15.1,86,Garen,4,2,50.0,14.286
15.1,90,Malzahar,4,4,100.0,14.286
15.1,56,Nocturne,4,1,25.0,14.286
15.1,80,Pantheon,4,2,50.0,14.286
15.1,235,Senna,4,2,50.0,14.286
15.1,412,Thresh,4,2,50.0,14.286
15.1,8,Vladimir,4,3,75.0,14.286
15.1,106,Volibear,4,2,50.0,14.286
15.1,103,Ahri,3,1,33.33,10.714
15.1,32,Amumu,3,0,0.0,10.714
15.1,523,Aphelios,3,2,66.67,10.714
15.1,201,Braum,3,3,100.0,10.714
15.1,120,Hecarim,3,2,66.67,10.714
15.1,74,Heimerdinger,3,2,66.67,10.714
15.1,202,Jhin,3,1,33.33,10.714
15.1,43,Karma,3,2,66.67,10.714
15.1,876,Lillia,3,1,33.33,10.714
15.1,236,Lucian,3,2,66.67,10.714
15.1,75,Nasus,3,1,33.33,10.714
15.1,61,Orianna,3,1,33.33,10.714
15.1,901,Smolder,3,0,0.0,10.714
15.1,18,Tristana,3,3,100.0,10.714
15.1,77,Udyr,3,1,33.33,10.714
15.1,67,Vayne,3,2,66.67,10.714
15.1,45,Veigar,3,2,66.67,10.714
15.1,161,Velkoz,3,1,33.33,10.714
15.1,142,Zoe,3,0,0.0,10.714
15.1,84,Akali,2,0,0.0,7.143
15.1,799,Ambessa,2,0,0.0,7.143
15.1,22,Ashe,2,0,0.0,7.143
15.1,200,Belveth,2,0,0.0,7.143
15.1,69,Cassiopeia,2,0,0.0,7.143
15.1,42,Corki,2,1,50.0,7.143
15.1,36,DrMundo,2,1,50.0,7.143
15.1,105,Fizz,2,1,50.0,7.143
15.1,150,Gnar,2,1,50.0,7.143
15.1,55,Katarina,2,1,50.0,7.143
15.1,141,Kayn,2,1,50.0,7.143
15.1,121,Khazix,2,2,100.0,7.143
15.1,240,Kled,2,0,0.0,7.143
15.1,89,Leona,2,2,100.0,7.143
15.1,62,MonkeyKing,2,1,50.0,7.143
15.1,82,Mordekaiser,2,2,100.0,7.143
15.1,267,Nami,2,2,100.0,7.143
15.1,78,Poppy,2,1,50.0,7.143
15.1,888,Renata,2,1,50.0,7.143
15.1,92,Riven,2,1,50.0,7.143
15.1,98,Shen,2,2,100.0,7.143
15.1,72,Skarner,2,1,50.0,7.143
15.1,134,Syndra,2,1,50.0,7.143
15.1,254,Vi,2,0,0.0,7.143
15.1,234,Viego,2,1,50.0,7.143
15.1,498,Xayah,2,1,50.0,7.143
15.1,83,Yorick,2,2,100.0,7.143
15.1,350,Yuumi,2,1,50.0,7.143
15.1,143,Zyra,2,0,0.0,7.143
15.1,34,Anivia,1,1,100.0,3.571
15.1,136,AurelionSol,1,1,100.0,3.571
15.1,893,Aurora,1,1,100.0,3.571
15.1,432,Bard,1,0,0.0,3.571
15.1,53,Blitzcrank,1,1,100.0,3.571
15.1,63,Brand,1,1,100.0,3.571
15.1,233,Briar,1,1,100.0,3.571
15.1,164,Camille,1,1,100.0,3.571
15.1,28,Evelynn,1,1,100.0,3.571
15.1,81,Ezreal,1,1,100.0,3.571
15.1,9,FiddleSticks,1,1,100.0,3.571
15.1,41,Gangplank,1,1,100.0,3.571
15.1,910,Hwei,1,1,100.0,3.571
15.1,39,Irelia,1,0,0.0,3.571
15.1,40,Janna,1,0,0.0,3.571
15.1,59,JarvanIV,1,0,0.0,3.571
15.1,38,Kassadin,1,1,100.0,3.571
15.1,10,Kayle,1,0,0.0,3.571
15.1,203,Kindred,1,0,0.0,3.571
15.1,7,Leblanc,1,1,100.0,3.571
15.1,54,Malphite,1,0,0.0,3.571
15.1,57,Maokai,1,0,0.0,3.571
15.1,902,Milio,1,0,0.0,3.571
15.1,950,Naafiri,1,0,0.0,3.571
15.1,111,Nautilus,1,0,0.0,3.571
15.1,895,Nilah,1,1,100.0,3.571
15.1,20,Nunu,1,1,100.0,3.571
15.1,2,Olaf,1,0,0.0,3.571
15.1,516,Ornn,1,1,100.0,3.571
15.1,555,Pyke,1,0,0.0,3.571
15.1,497,Rakan,1,0,0.0,3.571
15.1,33,Rammus,1,0,0.0,3.571
15.1,526,Rell,1,0,0.0,3.571
15.1,58,Renekton,1,1,100.0,3.571
15.1,360,Samira,1,0,0.0,3.571
15.1,113,Sejuani,1,1,100.0,3.571
15.1,875,Sett,1,1,100.0,3.571
15.1,35,Shaco,1,0,0.0,3.571
15.1,37,Sona,1,0,0.0,3.571
15.1,16,Soraka,1,1,100.0,3.571
15.1,517,Sylas,1,0,0.0,3.571
15.1,44,Taric,1,0,0.0,3.571
15.1,48,Trundle,1,1,100.0,3.571
15.1,23,Tryndamere,1,0,0.0,3.571
15.1,6,Urgot,1,0,0.0,3.571
15.1,101,Xerath,1,0,0.0,3.571
