patch,championId,championName,games,wins,win_rate,pick_rate
15.1,32,Amumu,2,1,50.0,50.0
15.1,31,Chogath,2,0,0.0,50.0
15.1,131,Diana,2,1,50.0,50.0
15.1,81,Ezreal,2,1,50.0,50.0
15.1,111,Nautilus,2,2,100.0,50.0
15.1,110,Varus,2,0,0.0,50.0
15.1,157,Yasuo,2,1,50.0,50.0
15.1,201,Braum,1,1,100.0,25.0
15.1,164,Camille,1,0,0.0,25.0
15.1,9,FiddleSticks,1,0,0.0,25.0
15.1,105,Fizz,1,1,100.0,25.0
15.1,39,Irelia,1,1,100.0,25.0
15.1,43,Karma,1,1,100.0,25.0
15.1,30,Karthus,1,1,100.0,25.0
15.1,55,Katarina,1,1,100.0,25.0
15.1,7,Leblanc,1,0,0.0,25.0
15.1,54,Malphite,1,1,100.0,25.0
15.1,62,MonkeyKing,1,1,100.0,25.0
15.1,82,Mordekaiser,1,1,100.0,25.0
15.1,25,Morgana,1,0,0.0,25.0
15.1,895,Nilah,1,1,100.0,25.0
15.1,516,Ornn,1,0,0.0,25.0
15.1,80,Pantheon,1,0,0.0,25.0
15.1,497,Rakan,1,0,0.0,25.0
15.1,58,Renekton,1,1,100.0,25.0
15.1,901,Smolder,1,0,0.0,25.0
15.1,412,Thresh,1,0,0.0,25.0
15.1,18,Tristana,1,1,100.0,25.0
15.1,77,Udyr,1,0,0.0,25.0
15.1,67,Vayne,1,1,100.0,25.0
15.1,45,Veigar,1,0,0.0,25.0
15.1,112,Viktor,1,1,100.0,25.0
15.1,777,Yone,1,0,0.0,25.0
