patch,championId,championName,games,wins,win_rate,pick_rate
15.13,99,Lux,10,6,60.0,23.81
15.13,202,Jhin,9,4,44.44,21.429
15.13,81,Ezreal,8,5,62.5,19.048
15.13,800,Mel,8,5,62.5,19.048
15.13,63,Brand,7,4,57.14,16.667
15.13,51,Caitlyn,7,4,57.14,16.667
15.13,36,DrMundo,7,1,14.29,16.667
15.13,133,Quinn,7,3,42.86,16.667
15.13,39,Irelia,6,4,66.67,14.286
15.13,90,Malzahar,6,3,50.0,14.286
15.13,21,MissFortune,6,5,83.33,14.286
15.13,111,Nautilus,6,1,16.67,14.286
15.13,412,Thresh,6,5,83.33,14.286
15.13,18,Tristana,6,3,50.0,14.286
15.13,29,Twitch,6,5,83.33,14.286
15.13,254,Vi,6,3,50.0,14.286
15.13,8,Vladimir,6,4,66.67,14.286
15.13,799,Ambessa,5,3,60.0,11.905
15.13,32,Amumu,5,3,60.0,11.905
15.13,233,Briar,5,4,80.0,11.905
15.13,222,Jinx,5,1,20.0,11.905
15.13,80,Pantheon,5,4,80.0,11.905
15.13,78,Poppy,5,1,20.0,11.905
15.13,15,Sivir,5,2,40.0,11.905
15.13,517,Sylas,5,1,20.0,11.905
15.13,48,Trundle,5,3,60.0,11.905
15.13,106,Volibear,5,3,60.0,11.905
15.13,157,Yasuo,5,4,80.0,11.905
15.13,84,Akali,4,0,0.0,9.524
15.13,1,Annie,4,2,50.0,9.524
15.13,28,Evelynn,4,2,50.0,9.524
15.13,3,Galio,4,3,75.0,9.524
15.13,43,Karma,4,1,25.0,9.524
15.13,141,Kayn,4,2,50.0,9.524
15.13,117,Lulu,4,3,75.0,9.524
15.13,267,Nami,4,1,25.0,9.524
15.13,75,Nasus,4,3,75.0,9.524
15.13,518,Neeko,4,1,25.0,9.524
15.13,246,Qiyana,4,1,25.0,9.524
15.13,92,Riven,4,1,25.0,9.524
15.13,35,Shaco,4,0,0.0,9.524
15.13,45,Veigar,4,1,25.0,9.524
15.13,83,Yorick,4,1,25.0,9.524
15.13,143,Zyra,4,4,100.0,9.524
15.13,266,Aatrox,3,2,66.67,7.143
15.13,103,Ahri,3,2,66.67,7.143
15.13,166,Akshan,3,3,100.0,7.143
15.13,34,Anivia,3,1,33.33,7.143
15.13,136,AurelionSol,3,2,66.67,7.143
