patch,championId,championName,games,wins,win_rate,pick_rate,ban_rate,cluster,tier
15.14,99,Lux,10,7,70.0,24.39,19.512,3,B
15.14,804,Yunara,10,2,20.0,24.39,31.707,3,B
15.14,202,Jhin,9,6,66.67,21.951,4.878,3,B
15.14,51,Caitlyn,8,4,50.0,19.512,26.829,3,B
15.14,82,Mordekaiser,8,2,25.0,19.512,7.317,3,B
15.14,111,Nautilus,8,2,25.0,19.512,12.195,3,B
15.14,35,Shaco,8,4,50.0,19.512,39.024,3,B
15.14,777,Yone,8,3,37.5,19.512,0.0,2,A
15.14,122,Darius,7,6,85.71,17.073,12.195,3,B
15.14,56,Nocturne,7,6,85.71,17.073,17.073,3,B
15.14,80,Pantheon,7,4,57.14,17.073,4.878,3,B
15.14,131,Diana,6,3,50.0,14.634,19.512,3,B
15.14,902,Milio,6,2,33.33,14.634,7.317,3,B
15.14,134,Syndra,6,2,33.33,14.634,4.878,3,B
15.14,32,Amumu,5,1,20.0,12.195,4.878,0,C
15.14,136,AurelionSol,5,3,60.0,12.195,4.878,0,C
15.14,63,Brand,5,0,0.0,12.195,4.878,0,C
15.14,910,Hwei,5,2,40.0,12.195,2.439,0,C
15.14,90,Malzahar,5,3,60.0,12.195,29.268,3,B
15.14,19,Warwick,5,2,40.0,12.195,19.512,3,B
15.14,157,Yasuo,5,4,80.0,12.195,12.195,3,B
15.14,142,Zoe,5,2,40.0,12.195,2.439,0,C
15.14,84,Akali,4,2,50.0,9.756,7.317,0,C
15.14,3,Galio,4,3,75.0,9.756,7.317,0,C
15.14,86,Garen,4,2,50.0,9.756,2.439,0,C
15.14,59,JarvanIV,4,2,50.0,9.756,2.439,0,C
15.14,222,Jinx,4,2,50.0,9.756,2.439,0,C
15.14,96,KogMaw,4,3,75.0,9.756,2.439,0,C
15.14,89,Leona,4,2,50.0,9.756,14.634,0,C
15.14,236,Lucian,4,2,50.0,9.756,0.0,2,A
15.14,117,Lulu,4,2,50.0,9.756,7.317,0,C
15.14,555,Pyke,4,2,50.0,9.756,17.073,0,C
15.14,526,Rell,4,2,50.0,9.756,2.439,0,C
15.14,517,Sylas,4,1,25.0,9.756,0.0,2,A
15.14,17,Teemo,4,3,75.0,9.756,17.073,0,C
15.14,412,Thresh,4,3,75.0,9.756,2.439,0,C
15.14,48,Trundle,4,4,100.0,9.756,14.634,1,S
15.14,29,Twitch,4,1,25.0,9.756,7.317,0,C
15.14,234,Viego,4,2,50.0,9.756,4.878,0,C
15.14,8,Vladimir,4,2,50.0,9.756,4.878,0,C
15.14,106,Volibear,4,2,50.0,9.756,4.878,0,C
15.14,83,Yorick,4,0,0.0,9.756,17.073,0,C
15.14,350,Yuumi,4,2,50.0,9.756,14.634,0,C
15.14,238,Zed,4,2,50.0,9.756,26.829,0,C
15.14,266,Aatrox,3,1,33.33,7.317,7.317,0,C
15.14,103,Ahri,3,2,66.67,7.317,2.439,0,C
15.14,1,Annie,3,0,0.0,7.317,4.878,0,C
15.14,893,Aurora,3,3,100.0,7.317,9.756,1,S
15.14,233,Briar,3,2,66.67,7.317,7.317,0,C
15.14,81,Ezreal,3,2,66.67,7.317,2.439,0,C
15.14,9,FiddleSticks,3,1,33.33,7.317,0.0,2,A
15.14,420,Illaoi,3,0,0.0,7.317,9.756,0,C
15.14,145,Kaisa,3,2,66.67,7.317,0.0,2,A
15.14,55,Katarina,3,2,66.67,7.317,2.439,0,C
15.14,10,Kayle,3,3,100.0,7.317,2.439,1,S
15.14,203,Kindred,3,1,33.33,7.317,2.439,0,C
15.14,54,Malphite,3,2,66.67,7.317,7.317,0,C
15.14,800,Mel,3,1,33.33,7.317,29.268,0,C
15.14,25,Morgana,3,1,33.33,7.317,9.756,0,C
15.14,267,Nami,3,2,66.67,7.317,0.0,2,A
15.14,518,Neeko,3,2,66.67,7.317,0.0,2,A
15.14,895,Nilah,3,3,100.0,7.317,0.0,2,A
15.14,107,Rengar,3,1,33.33,7.317,4.878,0,C
15.14,901,Smolder,3,2,66.67,7.317,0.0,2,A
15.14,16,Soraka,3,2,66.67,7.317,0.0,2,A
15.14,18,Tristana,3,1,33.33,7.317,7.317,0,C
15.14,6,Urgot,3,1,33.33,7.317,0.0,2,A
15.14,67,Vayne,3,0,0.0,7.317,12.195,0,C
15.14,45,Veigar,3,1,33.33,7.317,4.878,0,C
15.14,112,Viktor,3,3,100.0,7.317,12.195,1,S
15.14,166,Akshan,2,0,0.0,4.878,0.0,4,D
15.14,12,Alistar,2,1,50.0,4.878,2.439,0,C
15.14,523,Aphelios,2,0,0.0,4.878,7.317,4,D
15.14,22,Ashe,2,1,50.0,4.878,4.878,0,C
15.14,36,DrMundo,2,1,50.0,4.878,29.268,0,C
15.14,119,Draven,2,2,100.0,4.878,24.39,1,S
15.14,245,Ekko,2,2,100.0,4.878,0.0,2,A
15.14,887,Gwen,2,1,50.0,4.878,2.439,0,C
15.14,427,Ivern,2,2,100.0,4.878,2.439,1,S
15.14,43,Karma,2,0,0.0,4.878,0.0,4,D
15.14,141,Kayn,2,2,100.0,4.878,4.878,1,S
15.14,240,Kled,2,1,50.0,4.878,0.0,2,A
15.14,21,MissFortune,2,1,50.0,4.878,7.317,0,C
15.14,75,Nasus,2,1,50.0,4.878,2.439,0,C
15.14,76,Nidalee,2,1,50.0,4.878,0.0,2,A
15.14,78,Poppy,2,1,50.0,4.878,2.439,0,C
15.14,133,Quinn,2,2,100.0,4.878,7.317,1,S
15.14,92,Riven,2,1,50.0,4.878,0.0,2,A
15.14,13,Ryze,2,2,100.0,4.878,0.0,2,A
15.14,875,Sett,2,0,0.0,4.878,12.195,4,D
15.14,98,Shen,2,1,50.0,4.878,2.439,0,C
15.14,14,Sion,2,1,50.0,4.878,2.439,0,C
15.14,15,Sivir,2,1,50.0,4.878,7.317,0,C
15.14,91,Talon,2,0,0.0,4.878,0.0,4,D
15.14,110,Varus,2,1,50.0,4.878,0.0,2,A
15.14,254,Vi,2,0,0.0,4.878,7.317,4,D
15.14,498,Xayah,2,1,50.0,4.878,0.0,2,A
15.14,154,Zac,2,1,50.0,4.878,7.317,0,C
15.14,200,Belveth,1,1,100.0,2.439,0.0,2,A
15.14,53,Blitzcrank,1,0,0.0,2.439,21.951,4,D
15.14,164,Camille,1,1,100.0,2.439,2.439,1,S
15.14,31,Chogath,1,1,100.0,2.439,4.878,1,S
15.14,42,Corki,1,1,100.0,2.439,4.878,1,S
15.14,60,Elise,1,0,0.0,2.439,0.0,4,D
15.14,114,Fiora,1,0,0.0,2.439,7.317,4,D
15.14,150,Gnar,1,1,100.0,2.439,0.0,2,A
15.14,39,Irelia,1,0,0.0,2.439,4.878,4,D
15.14,40,Janna,1,0,0.0,2.439,0.0,4,D
15.14,24,Jax,1,0,0.0,2.439,12.195,4,D
15.14,429,Kalista,1,0,0.0,2.439,0.0,4,D
15.14,30,Karthus,1,0,0.0,2.439,0.0,4,D
15.14,85,Kennen,1,0,0.0,2.439,0.0,4,D
15.14,57,Maokai,1,1,100.0,2.439,2.439,1,S
15.14,11,MasterYi,1,0,0.0,2.439,17.073,4,D
15.14,20,Nunu,1,0,0.0,2.439,0.0,4,D
15.14,61,Orianna,1,1,100.0,2.439,0.0,2,A
15.14,516,Ornn,1,1,100.0,2.439,2.439,1,S
