patch,championId,championName,games,wins,win_rate,pick_rate
15.14,412,Thresh,10,6,60.0,22.727
15.14,19,Warwick,9,5,55.56,20.455
15.14,202,Jhin,8,5,62.5,18.182
15.14,222,Jinx,8,4,50.0,18.182
15.14,48,Trundle,8,5,62.5,18.182
15.14,804,Yunara,8,2,25.0,18.182
15.14,103,Ahri,7,5,71.43,15.909
15.14,10,Kayle,7,5,71.43,15.909
15.14,21,MissFortune,7,3,42.86,15.909
15.14,133,Quinn,7,3,42.86,15.909
15.14,83,Yorick,7,3,42.86,15.909
15.14,122,Darius,6,5,83.33,13.636
15.14,131,Diana,6,4,66.67,13.636
15.14,887,Gwen,6,0,0.0,13.636
15.14,145,Kaisa,6,3,50.0,13.636
15.14,99,Lux,6,4,66.67,13.636
15.14,25,Morgana,6,3,50.0,13.636
15.14,106,Volibear,6,1,16.67,13.636
15.14,1,Annie,5,1,20.0,11.364
15.14,22,Ashe,5,3,60.0,11.364
15.14,36,DrMundo,5,2,40.0,11.364
15.14,7,Leblanc,5,4,80.0,11.364
15.14,89,Leona,5,2,40.0,11.364
15.14,236,Lucian,5,1,20.0,11.364
15.14,267,Nami,5,1,20.0,11.364
15.14,875,Sett,5,4,80.0,11.364
15.14,901,Smolder,5,1,20.0,11.364
15.14,77,Udyr,5,3,60.0,11.364
15.14,238,Zed,5,2,40.0,11.364
15.14,84,Akali,4,2,50.0,9.091
15.14,32,Amumu,4,2,50.0,9.091
15.14,120,Hecarim,4,2,50.0,9.091
15.14,141,Kayn,4,1,25.0,9.091
15.14,117,Lulu,4,2,50.0,9.091
15.14,82,Mordekaiser,4,2,50.0,9.091
15.14,111,Nautilus,4,4,100.0,9.091
15.14,80,Pantheon,4,2,50.0,9.091
15.14,78,Poppy,4,3,75.0,9.091
15.14,58,Renekton,4,2,50.0,9.091
15.14,98,Shen,4,2,50.0,9.091
15.14,50,Swain,4,3,75.0,9.091
15.14,17,Teemo,4,3,75.0,9.091
15.14,67,Vayne,4,2,50.0,9.091
15.14,234,Viego,4,1,25.0,9.091
15.14,101,Xerath,4,1,25.0,9.091
15.14,157,Yasuo,4,3,75.0,9.091
15.14,12,Alistar,3,2,66.67,6.818
15.14,523,Aphelios,3,1,33.33,6.818
15.14,53,Blitzcrank,3,1,33.33,6.818
15.14,201,Braum,3,0,0.0,6.818
15.14,233,Briar,3,3,100.0,6.818
15.14,51,Caitlyn,3,3,100.0,6.818
15.14,119,Draven,3,2,66.67,6.818
15.14,81,Ezreal,3,2,66.67,6.818
15.14,9,FiddleSticks,3,2,66.67,6.818
15.14,86,Garen,3,0,0.0,6.818
15.14,910,Hwei,3,2,66.67,6.818
15.14,24,Jax,3,1,33.33,6.818
15.14,897,KSante,3,1,33.33,6.818
15.14,203,Kindred,3,1,33.33,6.818
15.14,876,Lillia,3,2,66.67,6.818
15.14,90,Malzahar,3,2,66.67,6.818
15.14,11,MasterYi,3,2,66.67,6.818
15.14,902,Milio,3,2,66.67,6.818
15.14,75,Nasus,3,0,0.0,6.818
15.14,56,Nocturne,3,3,100.0,6.818
15.14,555,Pyke,3,3,100.0,6.818
15.14,526,Rell,3,1,33.33,6.818
15.14,235,Senna,3,1,33.33,6.818
15.14,37,Sona,3,0,0.0,6.818
15.14,134,Syndra,3,1,33.33,6.818
15.14,110,Varus,3,1,33.33,6.818
15.14,711,Vex,3,1,33.33,6.818
15.14,112,Viktor,3,1,33.33,6.818
15.14,154,Zac,3,1,33.33,6.818
15.14,143,Zyra,3,1,33.33,6.818
15.14,893,Aurora,2,1,50.0,4.545
15.14,268,Azir,2,1,50.0,4.545
15.14,245,Ekko,2,1,50.0,4.545
15.14,28,Evelynn,2,2,100.0,4.545
15.14,114,Fiora,2,1,50.0,4.545
15.14,3,Galio,2,0,0.0,4.545
15.14,41,Gangplank,2,0,0.0,4.545
15.14,150,Gnar,2,2,100.0,4.545
15.14,40,Janna,2,0,0.0,4.545
15.14,59,JarvanIV,2,1,50.0,4.545
15.14,30,Karthus,2,0,0.0,4.545
15.14,64,LeeSin,2,0,0.0,4.545
15.14,54,Malphite,2,1,50.0,4.545
15.14,800,Mel,2,1,50.0,4.545
15.14,518,Neeko,2,2,100.0,4.545
15.14,107,Rengar,2,2,100.0,4.545
