patch,championId,championName,games,wins,win_rate,pick_rate,ban_rate,cluster,tier
15.3,131,Diana,4,1,25.0,57.143,0.0,3,B
15.3,222,Jinx,4,1,25.0,57.143,0.0,3,B
15.3,98,Shen,4,1,25.0,57.143,0.0,3,B
15.3,22,Ashe,3,3,100.0,42.857,0.0,3,B
15.3,117,Lulu,3,2,66.67,42.857,14.286,2,A
15.3,21,MissFortune,3,3,100.0,42.857,28.571,2,A
15.3,122,Darius,2,2,100.0,28.571,14.286,2,A
15.3,202,Jhin,2,0,0.0,28.571,0.0,4,C
15.3,64,LeeSin,2,1,50.0,28.571,0.0,4,C
15.3,99,Lux,2,0,0.0,28.571,14.286,1,D
15.3,90,Malzahar,2,1,50.0,28.571,0.0,4,C
15.3,147,Seraphine,2,1,50.0,28.571,14.286,2,A
15.3,875,Sett,2,2,100.0,28.571,0.0,0,S
15.3,19,Warwick,2,1,50.0,28.571,28.571,2,A
15.3,103,Ahri,1,0,0.0,14.286,28.571,1,D
15.3,63,Brand,1,1,100.0,14.286,14.286,2,A
15.3,233,Briar,1,0,0.0,14.286,14.286,1,D
15.3,51,Caitlyn,1,0,0.0,14.286,71.429,1,D
15.3,36,DrMundo,1,0,0.0,14.286,0.0,4,C
15.3,245,Ekko,1,1,100.0,14.286,0.0,0,S
15.3,81,Ezreal,1,0,0.0,14.286,0.0,4,C
15.3,114,Fiora,1,0,0.0,14.286,14.286,1,D
15.3,3,Galio,1,0,0.0,14.286,0.0,4,C
15.3,41,Gangplank,1,0,0.0,14.286,0.0,4,C
15.3,86,Garen,1,1,100.0,14.286,0.0,0,S
15.3,910,Hwei,1,1,100.0,14.286,0.0,0,S
15.3,897,KSante,1,1,100.0,14.286,0.0,0,S
15.3,876,Lillia,1,0,0.0,14.286,0.0,4,C
15.3,54,Malphite,1,1,100.0,14.286,0.0,0,S
15.3,11,MasterYi,1,0,0.0,14.286,14.286,1,D
15.3,800,Mel,1,1,100.0,14.286,57.143,2,A
15.3,902,Milio,1,1,100.0,14.286,0.0,0,S
15.3,950,Naafiri,1,1,100.0,14.286,0.0,0,S
15.3,75,Nasus,1,0,0.0,14.286,0.0,4,C
15.3,111,Nautilus,1,0,0.0,14.286,14.286,1,D
15.3,56,Nocturne,1,1,100.0,14.286,57.143,2,A
15.3,78,Poppy,1,0,0.0,14.286,14.286,1,D
15.3,555,Pyke,1,1,100.0,14.286,42.857,2,A
15.3,92,Riven,1,0,0.0,14.286,0.0,4,C
15.3,27,Singed,1,0,0.0,14.286,0.0,4,C
15.3,91,Talon,1,1,100.0,14.286,0.0,0,S
15.3,161,Velkoz,1,1,100.0,14.286,0.0,0,S
15.3,254,Vi,1,1,100.0,14.286,0.0,0,S
15.3,8,Vladimir,1,1,100.0,14.286,14.286,2,A
15.3,777,Yone,1,0,0.0,14.286,14.286,1,D
15.3,83,Yorick,1,1,100.0,14.286,0.0,0,S
15.3,142,Zoe,1,0,0.0,14.286,0.0,4,C
