patch,championId,championName,games,wins,win_rate,pick_rate,ban_rate
15.7,103,Ahri,5,4,80.0,50.0,0.0
15.7,62,MonkeyKing,5,3,60.0,50.0,0.0
15.7,32,Amumu,3,1,33.33,30.0,10.0
15.7,36,DrMundo,3,2,66.67,30.0,0.0
15.7,202,Jhin,3,2,66.67,30.0,0.0
15.7,11,MasterYi,3,1,33.33,30.0,20.0
15.7,21,MissFortune,3,2,66.67,30.0,0.0
15.7,267,Nami,3,2,66.67,30.0,10.0
15.7,526,Rell,3,2,66.67,30.0,0.0
15.7,41,Gangplank,2,1,50.0,20.0,0.0
15.7,117,Lulu,2,1,50.0,20.0,20.0
15.7,99,Lux,2,1,50.0,20.0,10.0
15.7,875,Sett,2,1,50.0,20.0,10.0
15.7,18,Tristana,2,1,50.0,20.0,0.0
15.7,48,Trundle,2,2,100.0,20.0,0.0
15.7,23,Tryndamere,2,0,0.0,20.0,0.0
15.7,112,Viktor,2,1,50.0,20.0,10.0
15.7,84,Akali,1,1,100.0,10.0,0.0
15.7,523,Aphelios,1,0,0.0,10.0,0.0
15.7,22,Ashe,1,1,100.0,10.0,0.0
15.7,63,Brand,1,0,0.0,10.0,0.0
15.7,233,Briar,1,1,100.0,10.0,0.0
15.7,51,Caitlyn,1,0,0.0,10.0,50.0
15.7,164,Camille,1,0,0.0,10.0,0.0
15.7,31,Chogath,1,0,0.0,10.0,0.0
15.7,122,Darius,1,1,100.0,10.0,80.0
15.7,245,Ekko,1,1,100.0,10.0,0.0
15.7,105,Fizz,1,0,0.0,10.0,20.0
15.7,3,Galio,1,0,0.0,10.0,0.0
15.7,86,Garen,1,1,100.0,10.0,0.0
15.7,887,Gwen,1,0,0.0,10.0,30.0
15.7,910,Hwei,1,1,100.0,10.0,0.0
15.7,39,Irelia,1,0,0.0,10.0,0.0
15.7,40,Janna,1,1,100.0,10.0,0.0
15.7,59,JarvanIV,1,0,0.0,10.0,0.0
15.7,222,Jinx,1,1,100.0,10.0,20.0
15.7,145,Kaisa,1,1,100.0,10.0,10.0
15.7,141,Kayn,1,0,0.0,10.0,10.0
15.7,121,Khazix,1,1,100.0,10.0,0.0
15.7,64,LeeSin,1,1,100.0,10.0,10.0
15.7,950,Naafiri,1,1,100.0,10.0,80.0
15.7,75,Nasus,1,0,0.0,10.0,0.0
15.7,111,Nautilus,1,1,100.0,10.0,20.0
15.7,895,Nilah,1,0,0.0,10.0,0.0
15.7,56,Nocturne,1,0,0.0,10.0,20.0
15.7,20,Nunu,1,1,100.0,10.0,0.0
15.7,61,Orianna,1,0,0.0,10.0,0.0
15.7,516,Ornn,1,0,0.0,10.0,0.0
15.7,80,Pantheon,1,0,0.0,10.0,10.0
15.7,555,Pyke,1,0,0.0,10.0,0.0
15.7,13,Ryze,1,0,0.0,10.0,0.0
15.7,235,Senna,1,1,100.0,10.0,0.0
15.7,15,Sivir,1,0,0.0,10.0,0.0
15.7,901,Smolder,1,0,0.0,10.0,0.0
15.7,50,Swain,1,1,100.0,10.0,10.0
15.7,517,Sylas,1,1,100.0,10.0,10.0
15.7,134,Syndra,1,1,100.0,10.0,0.0
15.7,163,Taliyah,1,0,0.0,10.0,10.0
15.7,44,Taric,1,0,0.0,10.0,0.0
15.7,412,Thresh,1,1,100.0,10.0,0.0
15.7,77,Udyr,1,0,0.0,10.0,0.0
15.7,45,Veigar,1,0,0.0,10.0,0.0
15.7,19,Warwick,1,0,0.0,10.0,10.0
15.7,498,Xayah,1,0,0.0,10.0,0.0
15.7,101,Xerath,1,0,0.0,10.0,0.0
15.7,157,Yasuo,1,0,0.0,10.0,10.0
15.7,777,Yone,1,1,100.0,10.0,0.0
15.7,83,Yorick,1,1,100.0,10.0,40.0
15.7,350,Yuumi,1,0,0.0,10.0,10.0
15.7,154,Zac,1,1,100.0,10.0,0.0
