patch,championId,championName,games,wins,win_rate,pick_rate
15.6,141,Kayn,6,3,50.0,42.857
15.6,238,Zed,5,2,40.0,35.714
15.6,950,Naafiri,4,2,50.0,28.571
15.6,45,Veigar,4,2,50.0,28.571
15.6,51,Caitlyn,3,1,33.33,21.429
15.6,164,Camille,3,2,66.67,21.429
15.6,86,Garen,3,2,66.67,21.429
15.6,202,Jhin,3,1,33.33,21.429
15.6,43,Karma,3,2,66.67,21.429
15.6,89,Leona,3,1,33.33,21.429
15.6,161,Velkoz,3,1,33.33,21.429
15.6,254,Vi,3,3,100.0,21.429
15.6,157,Yasuo,3,2,66.67,21.429
15.6,32,Amumu,2,2,100.0,14.286
15.6,31,Chogath,2,1,50.0,14.286
15.6,60,Elise,2,0,0.0,14.286
15.6,81,Ezreal,2,2,100.0,14.286
15.6,3,Galio,2,0,0.0,14.286
15.6,887,Gwen,2,1,50.0,14.286
15.6,910,Hwei,2,0,0.0,14.286
15.6,126,Jayce,2,2,100.0,14.286
15.6,222,Jinx,2,2,100.0,14.286
15.6,145,Kaisa,2,2,100.0,14.286
15.6,99,Lux,2,1,50.0,14.286
15.6,21,MissFortune,2,0,0.0,14.286
15.6,25,Morgana,2,0,0.0,14.286
15.6,875,Sett,2,0,0.0,14.286
15.6,98,Shen,2,1,50.0,14.286
15.6,14,Sion,2,2,100.0,14.286
15.6,901,Smolder,2,1,50.0,14.286
15.6,50,Swain,2,0,0.0,14.286
15.6,517,Sylas,2,2,100.0,14.286
15.6,223,TahmKench,2,0,0.0,14.286
15.6,23,Tryndamere,2,1,50.0,14.286
15.6,234,Viego,2,1,50.0,14.286
15.6,777,Yone,2,1,50.0,14.286
15.6,103,Ahri,1,0,0.0,7.143
15.6,84,Akali,1,1,100.0,7.143
15.6,799,Ambessa,1,1,100.0,7.143
15.6,523,Aphelios,1,0,0.0,7.143
15.6,22,Ashe,1,0,0.0,7.143
15.6,136,AurelionSol,1,1,100.0,7.143
15.6,432,Bard,1,1,100.0,7.143
15.6,119,Draven,1,0,0.0,7.143
15.6,9,FiddleSticks,1,0,0.0,7.143
15.6,114,Fiora,1,0,0.0,7.143
15.6,41,Gangplank,1,1,100.0,7.143
15.6,420,Illaoi,1,0,0.0,7.143
15.6,59,JarvanIV,1,0,0.0,7.143
15.6,55,Katarina,1,0,0.0,7.143
15.6,10,Kayle,1,0,0.0,7.143
15.6,85,Kennen,1,1,100.0,7.143
15.6,203,Kindred,1,1,100.0,7.143
15.6,240,Kled,1,1,100.0,7.143
15.6,64,LeeSin,1,0,0.0,7.143
15.6,117,Lulu,1,1,100.0,7.143
15.6,54,Malphite,1,0,0.0,7.143
15.6,90,Malzahar,1,0,0.0,7.143
15.6,11,MasterYi,1,0,0.0,7.143
15.6,62,MonkeyKing,1,1,100.0,7.143
15.6,82,Mordekaiser,1,1,100.0,7.143
15.6,518,Neeko,1,1,100.0,7.143
15.6,895,Nilah,1,1,100.0,7.143
15.6,56,Nocturne,1,0,0.0,7.143
15.6,20,Nunu,1,1,100.0,7.143
15.6,2,Olaf,1,1,100.0,7.143
15.6,80,Pantheon,1,0,0.0,7.143
15.6,555,Pyke,1,1,100.0,7.143
15.6,58,Renekton,1,0,0.0,7.143
15.6,13,Ryze,1,1,100.0,7.143
15.6,147,Seraphine,1,1,100.0,7.143
15.6,16,Soraka,1,1,100.0,7.143
15.6,134,Syndra,1,1,100.0,7.143
15.6,91,Talon,1,0,0.0,7.143
15.6,17,Teemo,1,1,100.0,7.143
15.6,18,Tristana,1,1,100.0,7.143
15.6,112,Viktor,1,1,100.0,7.143
15.6,8,Vladimir,1,0,0.0,7.143
15.6,106,Volibear,1,0,0.0,7.143
15.6,19,Warwick,1,1,100.0,7.143
15.6,101,Xerath,1,0,0.0,7.143
15.6,350,Yuumi,1,0,0.0,7.143
15.6,115,Ziggs,1,0,0.0,7.143
15.6,143,Zyra,1,0,0.0,7.143
