patch,championId,championName,games,wins,win_rate,pick_rate,ban_rate
15.6,21,MissFortune,9,4,44.44,34.615,7.692
15.6,99,Lux,8,4,50.0,30.769,19.231
15.6,122,Darius,7,5,71.43,26.923,34.615
15.6,950,Naafiri,7,3,42.86,26.923,50.0
15.6,145,Kaisa,5,4,80.0,19.231,0.0
15.6,141,Kayn,5,0,0.0,19.231,7.692
15.6,800,Mel,5,4,80.0,19.231,46.154
15.6,25,Morgana,5,2,40.0,19.231,19.231
15.6,111,Nautilus,5,2,40.0,19.231,7.692
15.6,18,Tristana,5,2,40.0,19.231,11.538
15.6,29,Twitch,5,2,40.0,19.231,23.077
15.6,238,Zed,5,3,60.0,19.231,19.231
15.6,233,Briar,4,2,50.0,15.385,7.692
15.6,41,Gangplank,4,1,25.0,15.385,0.0
15.6,86,Garen,4,3,75.0,15.385,3.846
15.6,222,Jinx,4,0,0.0,15.385,19.231
15.6,62,MonkeyKing,4,2,50.0,15.385,0.0
15.6,80,Pantheon,4,3,75.0,15.385,0.0
15.6,50,Swain,4,1,25.0,15.385,3.846
15.6,517,Sylas,4,2,50.0,15.385,3.846
15.6,67,Vayne,4,2,50.0,15.385,3.846
15.6,106,Volibear,4,4,100.0,15.385,7.692
15.6,266,Aatrox,3,1,33.33,11.538,0.0
15.6,84,Akali,3,2,66.67,11.538,15.385
15.6,53,Blitzcrank,3,1,33.33,11.538,23.077
15.6,51,Caitlyn,3,3,100.0,11.538,23.077
15.6,202,Jhin,3,1,33.33,11.538,7.692
15.6,54,Malphite,3,2,66.67,11.538,3.846
15.6,90,Malzahar,3,2,66.67,11.538,23.077
15.6,82,Mordekaiser,3,0,0.0,11.538,15.385
15.6,15,Sivir,3,1,33.33,11.538,0.0
15.6,223,TahmKench,3,1,33.33,11.538,3.846
15.6,17,Teemo,3,3,100.0,11.538,7.692
15.6,48,Trundle,3,1,33.33,11.538,0.0
15.6,234,Viego,3,2,66.67,11.538,7.692
15.6,101,Xerath,3,2,66.67,11.538,0.0
15.6,5,XinZhao,3,0,0.0,11.538,0.0
15.6,34,Anivia,2,0,0.0,7.692,11.538
15.6,63,Brand,2,1,50.0,7.692,3.846
15.6,81,Ezreal,2,2,100.0,7.692,11.538
15.6,114,Fiora,2,2,100.0,7.692,7.692
15.6,79,Gragas,2,0,0.0,7.692,0.0
15.6,104,Graves,2,0,0.0,7.692,0.0
15.6,887,Gwen,2,1,50.0,7.692,19.231
15.6,910,Hwei,2,2,100.0,7.692,3.846
15.6,59,JarvanIV,2,1,50.0,7.692,0.0
15.6,24,Jax,2,0,0.0,7.692,11.538
15.6,897,KSante,2,0,0.0,7.692,0.0
15.6,55,Katarina,2,0,0.0,7.692,3.846
15.6,10,Kayle,2,1,50.0,7.692,0.0
15.6,85,Kennen,2,1,50.0,7.692,0.0
15.6,203,Kindred,2,1,50.0,7.692,3.846
15.6,117,Lulu,2,0,0.0,7.692,11.538
15.6,11,MasterYi,2,1,50.0,7.692,11.538
15.6,267,Nami,2,1,50.0,7.692,0.0
15.6,75,Nasus,2,2,100.0,7.692,11.538
15.6,518,Neeko,2,1,50.0,7.692,0.0
15.6,20,Nunu,2,2,100.0,7.692,0.0
15.6,68,Rumble,2,0,0.0,7.692,0.0
15.6,360,Samira,2,1,50.0,7.692,0.0
15.6,147,Seraphine,2,2,100.0,7.692,7.692
15.6,875,Sett,2,1,50.0,7.692,3.846
15.6,16,Soraka,2,1,50.0,7.692,0.0
15.6,134,Syndra,2,1,50.0,7.692,3.846
15.6,412,Thresh,2,0,0.0,7.692,3.846
