patch,championId,championName,games,wins,win_rate,pick_rate,ban_rate,cluster,tier
15.6,103,Ahri,10,8,80.0,20.408,10.204,0,B
15.6,122,Darius,10,6,60.0,20.408,48.98,0,B
15.6,202,Jhin,10,3,30.0,20.408,6.122,0,B
15.6,99,Lux,10,2,20.0,20.408,10.204,0,B
15.6,21,MissFortune,10,4,40.0,20.408,12.245,0,B
15.6,141,Kayn,9,5,55.56,18.367,14.286,0,B
15.6,89,Leona,9,5,55.56,18.367,2.041,0,B
15.6,45,Veigar,9,2,22.22,18.367,6.122,0,B
15.6,950,Naafiri,8,4,50.0,16.327,51.02,0,B
15.6,67,Vayne,8,6,75.0,16.327,6.122,0,B
15.6,53,Blitzcrank,7,4,57.14,14.286,4.082,0,B
15.6,51,Caitlyn,7,4,57.14,14.286,26.531,0,B
15.6,31,Chogath,7,3,42.86,14.286,14.286,0,B
15.6,222,Jinx,7,2,28.57,14.286,16.327,0,B
15.6,145,Kaisa,7,3,42.86,14.286,4.082,0,B
15.6,121,Khazix,7,3,42.86,14.286,2.041,0,B
15.6,90,Malzahar,7,1,14.29,14.286,8.163,0,B
15.6,82,Mordekaiser,7,4,57.14,14.286,10.204,0,B
15.6,35,Shaco,7,5,71.43,14.286,22.449,0,B
15.6,106,Volibear,7,3,42.86,14.286,6.122,0,B
15.6,157,Yasuo,7,4,57.14,14.286,10.204,0,B
15.6,777,Yone,7,3,42.86,14.286,10.204,0,B
15.6,32,Amumu,6,2,33.33,12.245,8.163,0,B
15.6,86,Garen,6,0,0.0,12.245,12.245,0,B
15.6,117,Lulu,6,3,50.0,12.245,10.204,0,B
15.6,80,Pantheon,6,5,83.33,12.245,8.163,0,B
15.6,18,Tristana,6,2,33.33,12.245,6.122,0,B
15.6,234,Viego,6,3,50.0,12.245,2.041,0,B
15.6,432,Bard,5,4,80.0,10.204,2.041,0,B
15.6,59,JarvanIV,5,3,60.0,10.204,2.041,0,B
15.6,267,Nami,5,2,40.0,10.204,0.0,1,A
15.6,56,Nocturne,5,3,60.0,10.204,20.408,0,B
15.6,14,Sion,5,3,60.0,10.204,0.0,1,A
15.6,223,TahmKench,5,2,40.0,10.204,8.163,0,B
