patch,championId,championName,games,wins,win_rate,pick_rate,ban_rate,cluster,tier
15.17,145,Kaisa,10,6,60.0,23.256,0.0,2,A
15.17,222,Jinx,9,5,55.56,20.93,0.0,2,A
15.17,99,Lux,9,5,55.56,20.93,11.628,1,B
15.17,517,Sylas,8,2,25.0,18.605,11.628,1,B
15.17,106,Volibear,8,5,62.5,18.605,16.279,1,B
15.17,141,Kayn,7,6,85.71,16.279,11.628,1,B
15.17,90,Malzahar,7,4,57.14,16.279,27.907,1,B
15.17,777,Yone,7,1,14.29,16.279,4.651,1,B
15.17,84,Akali,6,4,66.67,13.953,9.302,1,B
15.17,81,Ezreal,6,4,66.67,13.953,0.0,2,A
15.17,105,Fizz,6,3,50.0,13.953,4.651,1,B
15.17,25,Morgana,6,3,50.0,13.953,18.605,1,B
15.17,14,Sion,6,4,66.67,13.953,4.651,1,B
15.17,15,Sivir,6,4,66.67,13.953,6.977,1,B
15.17,18,Tristana,6,3,50.0,13.953,6.977,1,B
15.17,19,Warwick,6,4,66.67,13.953,23.256,1,B
15.17,51,Caitlyn,5,2,40.0,11.628,30.233,1,B
15.17,36,DrMundo,5,2,40.0,11.628,11.628,1,B
15.17,21,MissFortune,5,1,20.0,11.628,2.326,1,B
15.17,75,Nasus,5,3,60.0,11.628,2.326,1,B
15.17,555,Pyke,5,3,60.0,11.628,27.907,1,B
15.17,98,Shen,5,0,0.0,11.628,2.326,1,B
15.17,44,Taric,5,2,40.0,11.628,0.0,2,A
15.17,67,Vayne,5,3,60.0,11.628,4.651,1,B
15.17,112,Viktor,5,2,40.0,11.628,2.326,1,B
15.17,157,Yasuo,5,2,40.0,11.628,25.581,1,B
15.17,804,Yunara,5,3,60.0,11.628,20.93,1,B
15.17,31,Chogath,4,3,75.0,9.302,0.0,2,A
15.17,86,Garen,4,1,25.0,9.302,2.326,4,C
15.17,24,Jax,4,2,50.0,9.302,11.628,1,B
15.17,236,Lucian,4,3,75.0,9.302,0.0,2,A
15.17,57,Maokai,4,3,75.0,9.302,0.0,2,A
15.17,800,Mel,4,3,75.0,9.302,32.558,1,B
15.17,267,Nami,4,3,75.0,9.302,4.651,4,C
15.17,76,Nidalee,4,3,75.0,9.302,2.326,4,C
15.17,20,Nunu,4,3,75.0,9.302,0.0,2,A
15.17,80,Pantheon,4,1,25.0,9.302,4.651,4,C
15.17,107,Rengar,4,0,0.0,9.302,4.651,3,D
15.17,235,Senna,4,3,75.0,9.302,2.326,4,C
15.17,16,Soraka,4,3,75.0,9.302,0.0,2,A
15.17,412,Thresh,4,2,50.0,9.302,13.953,1,B
15.17,29,Twitch,4,1,25.0,9.302,4.651,4,C
15.17,234,Viego,4,2,50.0,9.302,6.977,4,C
15.17,8,Vladimir,4,3,75.0,9.302,13.953,1,B
15.17,5,XinZhao,4,1,25.0,9.302,2.326,4,C
15.17,166,Akshan,3,1,33.33,6.977,2.326,4,C
15.17,42,Corki,3,1,33.33,6.977,0.0,2,A
15.17,245,Ekko,3,2,66.67,6.977,6.977,4,C
15.17,79,Gragas,3,0,0.0,6.977,0.0,2,A
15.17,39,Irelia,3,2,66.67,6.977,6.977,4,C
15.17,59,JarvanIV,3,3,100.0,6.977,6.977,0,S
15.17,202,Jhin,3,2,66.67,6.977,4.651,4,C
15.17,43,Karma,3,1,33.33,6.977,4.651,4,C
15.17,64,LeeSin,3,2,66.67,6.977,2.326,4,C
15.17,117,Lulu,3,1,33.33,6.977,0.0,2,A
15.17,54,Malphite,3,0,0.0,6.977,11.628,3,D
15.17,902,Milio,3,2,66.67,6.977,4.651,4,C
15.17,82,Mordekaiser,3,2,66.67,6.977,11.628,4,C
15.17,111,Nautilus,3,1,33.33,6.977,13.953,4,C
15.17,516,Ornn,3,1,33.33,6.977,0.0,2,A
15.17,526,Rell,3,0,0.0,6.977,2.326,3,D
15.17,35,Shaco,3,2,66.67,6.977,16.279,4,C
15.17,901,Smolder,3,0,0.0,6.977,4.651,3,D
15.17,37,Sona,3,2,66.67,6.977,0.0,2,A
15.17,50,Swain,3,1,33.33,6.977,4.651,4,C
15.17,134,Syndra,3,2,66.67,6.977,6.977,4,C
15.17,4,TwistedFate,3,1,33.33,6.977,0.0,2,A
15.17,83,Yorick,3,0,0.0,6.977,13.953,3,D
15.17,143,Zyra,3,1,33.33,6.977,0.0,2,A
15.17,266,Aatrox,2,1,50.0,4.651,6.977,4,C
15.17,12,Alistar,2,1,50.0,4.651,2.326,4,C
15.17,32,Amumu,2,0,0.0,4.651,9.302,3,D
15.17,523,Aphelios,2,1,50.0,4.651,4.651,4,C
15.17,22,Ashe,2,0,0.0,4.651,2.326,3,D
15.17,63,Brand,2,1,50.0,4.651,11.628,4,C
15.17,201,Braum,2,2,100.0,4.651,4.651,0,S
15.17,233,Briar,2,0,0.0,4.651,27.907,3,D
15.17,122,Darius,2,0,0.0,4.651,23.256,3,D
15.17,119,Draven,2,2,100.0,4.651,23.256,0,S
15.17,9,FiddleSticks,2,2,100.0,4.651,2.326,0,S
15.17,3,Galio,2,2,100.0,4.651,4.651,0,S
15.17,41,Gangplank,2,1,50.0,4.651,2.326,4,C
15.17,120,Hecarim,2,2,100.0,4.651,4.651,0,S
15.17,910,Hwei,2,1,50.0,4.651,0.0,2,A
15.17,126,Jayce,2,1,50.0,4.651,0.0,2,A
15.17,897,KSante,2,1,50.0,4.651,0.0,2,A
15.17,38,Kassadin,2,2,100.0,4.651,4.651,0,S
15.17,121,Khazix,2,0,0.0,4.651,4.651,3,D
15.17,96,KogMaw,2,0,0.0,4.651,4.651,3,D
15.17,89,Leona,2,1,50.0,4.651,2.326,4,C
15.17,2,Olaf,2,2,100.0,4.651,0.0,2,A
15.17,246,Qiyana,2,0,0.0,4.651,9.302,3,D
15.17,133,Quinn,2,1,50.0,4.651,0.0,2,A
15.17,13,Ryze,2,1,50.0,4.651,0.0,2,A
15.17,113,Sejuani,2,1,50.0,4.651,0.0,2,A
15.17,147,Seraphine,2,1,50.0,4.651,4.651,4,C
15.17,875,Sett,2,0,0.0,4.651,2.326,3,D
15.17,17,Teemo,2,0,0.0,4.651,13.953,3,D
15.17,48,Trundle,2,1,50.0,4.651,0.0,2,A
15.17,23,Tryndamere,2,1,50.0,4.651,4.651,4,C
15.17,77,Udyr,2,2,100.0,4.651,0.0,2,A
15.17,6,Urgot,2,1,50.0,4.651,4.651,4,C
15.17,45,Veigar,2,1,50.0,4.651,0.0,2,A
15.17,161,Velkoz,2,1,50.0,4.651,2.326,4,C
15.17,711,Vex,2,2,100.0,4.651,4.651,0,S
15.17,254,Vi,2,0,0.0,4.651,2.326,3,D
15.17,101,Xerath,2,1,50.0,4.651,6.977,4,C
15.17,350,Yuumi,2,2,100.0,4.651,2.326,0,S
15.17,103,Ahri,1,1,100.0,2.326,2.326,0,S
15.17,799,Ambessa,1,1,100.0,2.326,2.326,0,S
15.17,1,Annie,1,1,100.0,2.326,4.651,0,S
15.17,136,AurelionSol,1,0,0.0,2.326,0.0,3,D
15.17,893,Aurora,1,1,100.0,2.326,4.651,0,S
15.17,432,Bard,1,1,100.0,2.326,2.326,0,S
15.17,53,Blitzcrank,1,0,0.0,2.326,20.93,3,D
15.17,164,Camille,1,1,100.0,2.326,0.0,0,S
15.17,69,Cassiopeia,1,0,0.0,2.326,2.326,3,D
15.17,131,Diana,1,0,0.0,2.326,9.302,3,D
15.17,28,Evelynn,1,0,0.0,2.326,2.326,3,D
15.17,114,Fiora,1,0,0.0,2.326,4.651,3,D
15.17,150,Gnar,1,1,100.0,2.326,4.651,0,S
15.17,104,Graves,1,1,100.0,2.326,2.326,0,S
15.17,74,Heimerdinger,1,0,0.0,2.326,2.326,3,D
15.17,420,Illaoi,1,1,100.0,2.326,6.977,0,S
15.17,427,Ivern,1,1,100.0,2.326,0.0,0,S
15.17,40,Janna,1,0,0.0,2.326,2.326,3,D
15.17,30,Karthus,1,0,0.0,2.326,0.0,3,D
15.17,10,Kayle,1,1,100.0,2.326,2.326,0,S
15.17,203,Kindred,1,1,100.0,2.326,2.326,0,S
15.17,7,Leblanc,1,0,0.0,2.326,9.302,3,D
15.17,62,MonkeyKing,1,0,0.0,2.326,0.0,3,D
15.17,518,Neeko,1,1,100.0,2.326,2.326,0,S
15.17,56,Nocturne,1,0,0.0,2.326,9.302,3,D
15.17,61,Orianna,1,0,0.0,2.326,2.326,3,D
15.17,497,Rakan,1,0,0.0,2.326,0.0,3,D
