patch,K,SSE,silhouette
15.2,2,293.25788087601336,0.2972594432736611
15.2,3,196.30285633904742,0.44578469061623
15.2,4,146.22950356490202,0.47419441655125416
15.2,5,111.6320038462129,0.5498228131571868
15.2,6,85.6967050367694,0.5537519270821898
15.2,7,62.078384152102544,0.6477237984782103
15.2,8,46.376228510755126,0.6548901823234216
15.2,9,35.70160798390382,0.6755037896539373
15.2,10,27.871889671788615,0.7050999281139196
