cluster,n,mean_win_rate,mean_pick_rate,mean_ban_rate
3,22,100.0,7.61340740740741,3.498037037037037
0,24,60.87014492753623,18.115971014492757,12.318942028985509
2,17,44.680638297872335,17.375978723404256,0.0
1,13,0.0,7.639125,0.0
4,19,0.0,6.6140952380952385,15.608714285714283
