patch,championId,championName,games,wins,win_rate,pick_rate,ban_rate
15.9,222,Jinx,6,2,33.33,24.0,12.0
15.9,267,Nami,6,1,16.67,24.0,0.0
15.9,112,Viktor,6,4,66.67,24.0,4.0
15.9,103,Ahri,5,2,40.0,20.0,4.0
15.9,202,Jhin,5,4,80.0,20.0,20.0
15.9,99,Lux,5,2,40.0,20.0,8.0
15.9,19,Warwick,5,1,20.0,20.0,20.0
15.9,22,Ashe,4,1,25.0,16.0,4.0
15.9,36,DrMundo,4,3,75.0,16.0,0.0
15.9,81,Ezreal,4,3,75.0,16.0,0.0
15.9,150,Gnar,4,2,50.0,16.0,0.0
15.9,43,Karma,4,4,100.0,16.0,4.0
15.9,64,LeeSin,4,2,50.0,16.0,4.0
15.9,236,Lucian,4,2,50.0,16.0,0.0
15.9,4,TwistedFate,4,2,50.0,16.0,0.0
15.9,110,Varus,4,1,25.0,16.0,0.0
15.9,893,Aurora,3,0,0.0,12.0,0.0
15.9,268,Azir,3,2,66.67,12.0,0.0
15.9,51,Caitlyn,3,0,0.0,12.0,36.0
15.9,910,Hwei,3,3,100.0,12.0,0.0
15.9,420,Illaoi,3,3,100.0,12.0,12.0
15.9,24,Jax,3,3,100.0,12.0,0.0
15.9,54,Malphite,3,0,0.0,12.0,12.0
15.9,21,MissFortune,3,1,33.33,12.0,8.0
15.9,360,Samira,3,1,33.33,12.0,4.0
15.9,35,Shaco,3,1,33.33,12.0,12.0
15.9,134,Syndra,3,1,33.33,12.0,8.0
15.9,18,Tristana,3,1,33.33,12.0,8.0
15.9,254,Vi,3,0,0.0,12.0,0.0
15.9,101,Xerath,3,2,66.67,12.0,8.0
15.9,157,Yasuo,3,3,100.0,12.0,32.0
15.9,238,Zed,3,1,33.33,12.0,12.0
15.9,84,Akali,2,2,100.0,8.0,12.0
15.9,12,Alistar,2,2,100.0,8.0,4.0
15.9,1,Annie,2,1,50.0,8.0,4.0
15.9,31,Chogath,2,0,0.0,8.0,0.0
15.9,122,Darius,2,1,50.0,8.0,8.0
15.9,131,Diana,2,1,50.0,8.0,8.0
15.9,245,Ekko,2,0,0.0,8.0,4.0
15.9,9,FiddleSticks,2,1,50.0,8.0,20.0
15.9,79,Gragas,2,2,100.0,8.0,0.0
15.9,104,Graves,2,1,50.0,8.0,8.0
15.9,887,Gwen,2,1,50.0,8.0,8.0
15.9,120,Hecarim,2,2,100.0,8.0,4.0
15.9,126,Jayce,2,2,100.0,8.0,0.0
