patch,championId,championName,games,wins,win_rate,pick_rate,ban_rate
15.12,131,Diana,3,1,33.33,100.0,0.0
15.12,36,DrMundo,3,1,33.33,100.0,0.0
15.12,202,Jhin,3,1,33.33,100.0,0.0
15.12,267,Nami,3,2,66.67,100.0,0.0
15.12,11,MasterYi,2,2,100.0,66.667,0.0
15.12,51,Caitlyn,1,1,100.0,33.333,66.667
15.12,245,Ekko,1,1,100.0,33.333,0.0
15.12,86,Garen,1,0,0.0,33.333,0.0
15.12,79,Gragas,1,1,100.0,33.333,0.0
15.12,145,Kaisa,1,0,0.0,33.333,0.0
15.12,117,Lulu,1,0,0.0,33.333,0.0
15.12,90,Malzahar,1,0,0.0,33.333,33.333
15.12,92,Riven,1,0,0.0,33.333,0.0
15.12,15,Sivir,1,1,100.0,33.333,0.0
15.12,16,Soraka,1,0,0.0,33.333,0.0
15.12,91,Talon,1,0,0.0,33.333,0.0
15.12,412,Thresh,1,1,100.0,33.333,0.0
15.12,48,Trundle,1,1,100.0,33.333,0.0
15.12,77,Udyr,1,1,100.0,33.333,0.0
15.12,45,Veigar,1,0,0.0,33.333,0.0
15.12,157,Yasuo,1,1,100.0,33.333,33.333
