patch,championId,championName,games,wins,win_rate,pick_rate
15.12,222,Jinx,10,6,60.0,23.256
15.12,36,DrMundo,8,4,50.0,18.605
15.12,157,Yasuo,8,4,50.0,18.605
15.12,245,Ekko,7,3,42.86,16.279
15.12,145,Kaisa,7,3,42.86,16.279
15.12,235,Senna,7,2,28.57,16.279
15.12,81,Ezreal,6,3,50.0,13.953
15.12,202,Jhin,6,3,50.0,13.953
15.12,117,Lulu,6,3,50.0,13.953
15.12,11,MasterYi,6,2,33.33,13.953
15.12,800,Mel,6,1,16.67,13.953
15.12,25,Morgana,6,3,50.0,13.953
15.12,875,Sett,6,3,50.0,13.953
15.12,37,Sona,6,4,66.67,13.953
15.12,254,Vi,6,4,66.67,13.953
15.12,101,Xerath,6,1,16.67,13.953
15.12,799,Ambessa,5,2,40.0,11.628
15.12,201,Braum,5,2,40.0,11.628
15.12,51,Caitlyn,5,3,60.0,11.628
15.12,131,Diana,5,1,20.0,11.628
15.12,39,Irelia,5,4,80.0,11.628
15.12,64,LeeSin,5,3,60.0,11.628
15.12,99,Lux,5,3,60.0,11.628
15.12,80,Pantheon,5,2,40.0,11.628
15.12,133,Quinn,5,2,40.0,11.628
15.12,360,Samira,5,3,60.0,11.628
15.12,5,XinZhao,5,1,20.0,11.628
15.12,777,Yone,5,2,40.0,11.628
15.12,350,Yuumi,5,4,80.0,11.628
15.12,238,Zed,5,5,100.0,11.628
15.12,142,Zoe,5,3,60.0,11.628
15.12,32,Amumu,4,2,50.0,9.302
15.12,22,Ashe,4,1,25.0,9.302
15.12,893,Aurora,4,1,25.0,9.302
15.12,79,Gragas,4,2,50.0,9.302
15.12,141,Kayn,4,2,50.0,9.302
15.12,89,Leona,4,3,75.0,9.302
15.12,21,MissFortune,4,1,25.0,9.302
15.12,82,Mordekaiser,4,1,25.0,9.302
15.12,58,Renekton,4,2,50.0,9.302
15.12,147,Seraphine,4,4,100.0,9.302
15.12,98,Shen,4,2,50.0,9.302
15.12,15,Sivir,4,2,50.0,9.302
15.12,91,Talon,4,2,50.0,9.302
15.12,48,Trundle,4,0,0.0,9.302
15.12,45,Veigar,4,2,50.0,9.302
15.12,106,Volibear,4,2,50.0,9.302
15.12,221,Zeri,4,1,25.0,9.302
15.12,266,Aatrox,3,1,33.33,6.977
15.12,103,Ahri,3,2,66.67,6.977
15.12,268,Azir,3,3,100.0,6.977
15.12,53,Blitzcrank,3,1,33.33,6.977
15.12,122,Darius,3,3,100.0,6.977
15.12,119,Draven,3,1,33.33,6.977
15.12,55,Katarina,3,0,0.0,6.977
15.12,876,Lillia,3,1,33.33,6.977
15.12,127,Lissandra,3,2,66.67,6.977
15.12,236,Lucian,3,2,66.67,6.977
15.12,54,Malphite,3,2,66.67,6.977
15.12,90,Malzahar,3,2,66.67,6.977
15.12,950,Naafiri,3,2,66.67,6.977
15.12,267,Nami,3,2,66.67,6.977
15.12,75,Nasus,3,2,66.67,6.977
15.12,111,Nautilus,3,0,0.0,6.977
15.12,61,Orianna,3,0,0.0,6.977
15.12,113,Sejuani,3,0,0.0,6.977
15.12,4,TwistedFate,3,2,66.67,6.977
