patch,championId,championName,games,wins,win_rate,pick_rate,ban_rate,cluster,tier
15.12,17,Teemo,10,2,20.0,26.316,10.526,1,A
15.12,800,Mel,8,6,75.0,21.053,28.947,1,A
15.12,25,Morgana,8,6,75.0,21.053,15.789,1,A
15.12,222,Jinx,7,5,71.43,18.421,23.684,1,A
15.12,145,Kaisa,7,6,85.71,18.421,2.632,1,A
15.12,39,Irelia,6,4,66.67,15.789,15.789,1,A
15.12,11,MasterYi,6,2,33.33,15.789,26.316,1,A
15.12,902,Milio,6,2,33.33,15.789,0.0,0,B
15.12,875,Sett,6,1,16.67,15.789,7.895,1,A
15.12,18,Tristana,6,4,66.67,15.789,10.526,1,A
15.12,350,Yuumi,6,3,50.0,15.789,10.526,1,A
15.12,22,Ashe,5,1,20.0,13.158,5.263,1,A
15.12,51,Caitlyn,5,1,20.0,13.158,23.684,1,A
15.12,36,DrMundo,5,2,40.0,13.158,42.105,1,A
15.12,202,Jhin,5,2,40.0,13.158,7.895,1,A
15.12,64,LeeSin,5,3,60.0,13.158,5.263,1,A
15.12,54,Malphite,5,1,20.0,13.158,13.158,1,A
15.12,21,MissFortune,5,3,60.0,13.158,2.632,1,A
15.12,82,Mordekaiser,5,4,80.0,13.158,18.421,1,A
15.12,267,Nami,5,1,20.0,13.158,2.632,1,A
15.12,147,Seraphine,5,2,40.0,13.158,0.0,0,B
15.12,15,Sivir,5,2,40.0,13.158,7.895,1,A
15.12,16,Soraka,5,4,80.0,13.158,2.632,1,A
15.12,4,TwistedFate,5,2,40.0,13.158,2.632,1,A
15.12,110,Varus,5,2,40.0,13.158,0.0,0,B
15.12,254,Vi,5,2,40.0,13.158,0.0,0,B
15.12,266,Aatrox,4,2,50.0,10.526,7.895,1,A
15.12,233,Briar,4,3,75.0,10.526,7.895,1,A
15.12,910,Hwei,4,2,50.0,10.526,2.632,1,A
15.12,141,Kayn,4,2,50.0,10.526,5.263,1,A
15.12,89,Leona,4,2,50.0,10.526,2.632,1,A
15.12,99,Lux,4,3,75.0,10.526,39.474,1,A
15.12,555,Pyke,4,1,25.0,10.526,18.421,1,A
15.12,235,Senna,4,1,25.0,10.526,0.0,0,B
15.12,50,Swain,4,3,75.0,10.526,7.895,1,A
15.12,67,Vayne,4,2,50.0,10.526,5.263,1,A
15.12,45,Veigar,4,1,25.0,10.526,2.632,1,A
15.12,19,Warwick,4,4,100.0,10.526,28.947,1,A
15.12,157,Yasuo,4,2,50.0,10.526,26.316,1,A
15.12,83,Yorick,4,3,75.0,10.526,28.947,1,A
15.12,103,Ahri,3,2,66.67,7.895,5.263,1,A
15.12,32,Amumu,3,0,0.0,7.895,7.895,3,C
15.12,268,Azir,3,2,66.67,7.895,0.0,0,B
15.12,122,Darius,3,2,66.67,7.895,2.632,1,A
15.12,887,Gwen,3,1,33.33,7.895,10.526,1,A
15.12,120,Hecarim,3,1,33.33,7.895,2.632,1,A
15.12,40,Janna,3,2,66.67,7.895,0.0,0,B
